POI: 			Sofia_Coppola 
Youtube ID: 	0Wmbm5f50OA 
Video length: 	1760.9 sec 
Set (V): 		dev 
 
Sofia_Coppola/0Wmbm5f50OA_0000001 15.6 19.7 
Sofia_Coppola/0Wmbm5f50OA_0000002 22.8 35.6 
Sofia_Coppola/0Wmbm5f50OA_0000003 36.3 51.0 
Sofia_Coppola/0Wmbm5f50OA_0000004 60.7 67.2 
Sofia_Coppola/0Wmbm5f50OA_0000005 67.8 74.0 
Sofia_Coppola/0Wmbm5f50OA_0000006 79.2 87.4 
Sofia_Coppola/0Wmbm5f50OA_0000007 94.1 117.0 
Sofia_Coppola/0Wmbm5f50OA_0000008 126.1 131.5 
Sofia_Coppola/0Wmbm5f50OA_0000009 133.2 150.0 
Sofia_Coppola/0Wmbm5f50OA_0000010 166.4 170.6 
Sofia_Coppola/0Wmbm5f50OA_0000011 178.6 183.3 
Sofia_Coppola/0Wmbm5f50OA_0000012 183.4 187.4 
Sofia_Coppola/0Wmbm5f50OA_0000013 200.1 204.4 
Sofia_Coppola/0Wmbm5f50OA_0000014 223.3 232.2 
Sofia_Coppola/0Wmbm5f50OA_0000015 232.4 237.4 
Sofia_Coppola/0Wmbm5f50OA_0000016 238.4 244.8 
Sofia_Coppola/0Wmbm5f50OA_0000017 249.6 260.4 
Sofia_Coppola/0Wmbm5f50OA_0000018 269.1 274.4 
Sofia_Coppola/0Wmbm5f50OA_0000019 276.8 284.1 
Sofia_Coppola/0Wmbm5f50OA_0000020 285.2 291.2 
Sofia_Coppola/0Wmbm5f50OA_0000021 293.1 299.0 
Sofia_Coppola/0Wmbm5f50OA_0000022 300.0 307.1 
Sofia_Coppola/0Wmbm5f50OA_0000023 307.7 313.8 
Sofia_Coppola/0Wmbm5f50OA_0000024 335.6 340.6 
Sofia_Coppola/0Wmbm5f50OA_0000025 348.7 357.0 
Sofia_Coppola/0Wmbm5f50OA_0000026 358.0 362.5 
Sofia_Coppola/0Wmbm5f50OA_0000027 377.6 382.6 
Sofia_Coppola/0Wmbm5f50OA_0000028 401.8 406.8 
