POI: 			Gaspard_Ulliel 
Youtube ID: 	Amta5qpAl0M 
Video length: 	310.9 sec 
Set (V): 		dev 
 
Gaspard_Ulliel/Amta5qpAl0M_0000001 19.9 26.4 
Gaspard_Ulliel/Amta5qpAl0M_0000002 36.0 41.2 
Gaspard_Ulliel/Amta5qpAl0M_0000003 41.6 45.6 
Gaspard_Ulliel/Amta5qpAl0M_0000004 47.5 61.4 
Gaspard_Ulliel/Amta5qpAl0M_0000005 68.0 83.4 
Gaspard_Ulliel/Amta5qpAl0M_0000006 98.0 119.6 
Gaspard_Ulliel/Amta5qpAl0M_0000007 121.7 126.4 
Gaspard_Ulliel/Amta5qpAl0M_0000008 141.6 154.1 
Gaspard_Ulliel/Amta5qpAl0M_0000009 160.9 169.2 
Gaspard_Ulliel/Amta5qpAl0M_0000010 179.0 188.6 
Gaspard_Ulliel/Amta5qpAl0M_0000011 190.0 196.5 
Gaspard_Ulliel/Amta5qpAl0M_0000012 197.8 205.8 
Gaspard_Ulliel/Amta5qpAl0M_0000013 207.0 218.5 
Gaspard_Ulliel/Amta5qpAl0M_0000014 219.7 224.4 
Gaspard_Ulliel/Amta5qpAl0M_0000015 235.9 240.3 
Gaspard_Ulliel/Amta5qpAl0M_0000016 249.0 254.6 
Gaspard_Ulliel/Amta5qpAl0M_0000017 254.8 261.8 
Gaspard_Ulliel/Amta5qpAl0M_0000018 278.2 285.4 
Gaspard_Ulliel/Amta5qpAl0M_0000019 287.4 292.4 
Gaspard_Ulliel/Amta5qpAl0M_0000020 295.3 300.4 
Gaspard_Ulliel/Amta5qpAl0M_0000021 304.9 309.4 
