POI: 			Gaspard_Ulliel 
Youtube ID: 	pCe311Fs8gM 
Video length: 	772.2 sec 
Set (V): 		dev 
 
Gaspard_Ulliel/pCe311Fs8gM_0000001 44.2 51.0 
Gaspard_Ulliel/pCe311Fs8gM_0000002 64.8 71.2 
Gaspard_Ulliel/pCe311Fs8gM_0000003 90.7 97.9 
Gaspard_Ulliel/pCe311Fs8gM_0000004 161.7 166.2 
Gaspard_Ulliel/pCe311Fs8gM_0000005 172.7 180.8 
Gaspard_Ulliel/pCe311Fs8gM_0000006 232.1 239.4 
Gaspard_Ulliel/pCe311Fs8gM_0000007 366.2 376.3 
Gaspard_Ulliel/pCe311Fs8gM_0000008 394.3 399.4 
Gaspard_Ulliel/pCe311Fs8gM_0000009 400.6 405.6 
Gaspard_Ulliel/pCe311Fs8gM_0000010 447.2 452.9 
Gaspard_Ulliel/pCe311Fs8gM_0000011 454.8 459.4 
Gaspard_Ulliel/pCe311Fs8gM_0000012 477.8 483.6 
Gaspard_Ulliel/pCe311Fs8gM_0000013 540.1 548.3 
Gaspard_Ulliel/pCe311Fs8gM_0000014 571.0 581.2 
Gaspard_Ulliel/pCe311Fs8gM_0000015 616.7 622.6 
Gaspard_Ulliel/pCe311Fs8gM_0000016 667.9 678.6 
Gaspard_Ulliel/pCe311Fs8gM_0000017 678.7 685.2 
Gaspard_Ulliel/pCe311Fs8gM_0000018 712.0 723.6 
Gaspard_Ulliel/pCe311Fs8gM_0000019 727.7 732.1 
