POI: 			Michael_Cudlitz 
Youtube ID: 	dbLnn3HYogI 
Video length: 	1427.2 sec 
Set (V): 		dev 
 
Michael_Cudlitz/dbLnn3HYogI_0000001 61.6 66.6 
Michael_Cudlitz/dbLnn3HYogI_0000002 72.6 78.6 
Michael_Cudlitz/dbLnn3HYogI_0000003 101.9 107.8 
Michael_Cudlitz/dbLnn3HYogI_0000004 125.1 132.8 
Michael_Cudlitz/dbLnn3HYogI_0000005 133.4 138.2 
Michael_Cudlitz/dbLnn3HYogI_0000006 188.4 196.6 
Michael_Cudlitz/dbLnn3HYogI_0000007 197.3 210.4 
Michael_Cudlitz/dbLnn3HYogI_0000008 258.5 263.6 
Michael_Cudlitz/dbLnn3HYogI_0000009 286.2 294.5 
Michael_Cudlitz/dbLnn3HYogI_0000010 295.1 301.6 
Michael_Cudlitz/dbLnn3HYogI_0000011 301.9 309.2 
Michael_Cudlitz/dbLnn3HYogI_0000012 323.8 330.2 
Michael_Cudlitz/dbLnn3HYogI_0000013 332.5 336.9 
Michael_Cudlitz/dbLnn3HYogI_0000014 382.4 390.8 
Michael_Cudlitz/dbLnn3HYogI_0000015 418.4 423.4 
Michael_Cudlitz/dbLnn3HYogI_0000016 438.9 453.1 
Michael_Cudlitz/dbLnn3HYogI_0000017 455.6 464.1 
Michael_Cudlitz/dbLnn3HYogI_0000018 467.0 471.6 
Michael_Cudlitz/dbLnn3HYogI_0000019 535.2 539.7 
Michael_Cudlitz/dbLnn3HYogI_0000020 542.5 547.2 
Michael_Cudlitz/dbLnn3HYogI_0000021 641.8 647.8 
Michael_Cudlitz/dbLnn3HYogI_0000022 666.7 672.8 
Michael_Cudlitz/dbLnn3HYogI_0000023 678.6 683.4 
Michael_Cudlitz/dbLnn3HYogI_0000024 767.7 772.0 
Michael_Cudlitz/dbLnn3HYogI_0000025 774.0 780.2 
Michael_Cudlitz/dbLnn3HYogI_0000026 781.5 785.8 
Michael_Cudlitz/dbLnn3HYogI_0000027 788.5 793.8 
Michael_Cudlitz/dbLnn3HYogI_0000028 823.6 830.0 
Michael_Cudlitz/dbLnn3HYogI_0000029 835.4 840.1 
Michael_Cudlitz/dbLnn3HYogI_0000030 876.0 884.8 
Michael_Cudlitz/dbLnn3HYogI_0000031 885.7 893.6 
Michael_Cudlitz/dbLnn3HYogI_0000032 894.2 908.4 
Michael_Cudlitz/dbLnn3HYogI_0000033 908.6 916.7 
Michael_Cudlitz/dbLnn3HYogI_0000034 931.0 936.2 
Michael_Cudlitz/dbLnn3HYogI_0000035 971.8 979.4 
Michael_Cudlitz/dbLnn3HYogI_0000036 980.3 988.0 
Michael_Cudlitz/dbLnn3HYogI_0000037 1034.6 1039.1 
Michael_Cudlitz/dbLnn3HYogI_0000038 1041.7 1052.6 
Michael_Cudlitz/dbLnn3HYogI_0000039 1077.6 1090.9 
Michael_Cudlitz/dbLnn3HYogI_0000040 1142.2 1147.9 
Michael_Cudlitz/dbLnn3HYogI_0000041 1170.7 1175.4 
Michael_Cudlitz/dbLnn3HYogI_0000042 1178.0 1183.4 
Michael_Cudlitz/dbLnn3HYogI_0000043 1147.3 1152.3 
Michael_Cudlitz/dbLnn3HYogI_0000044 1152.8 1161.8 
Michael_Cudlitz/dbLnn3HYogI_0000045 1215.8 1224.1 
Michael_Cudlitz/dbLnn3HYogI_0000046 1255.4 1262.1 
Michael_Cudlitz/dbLnn3HYogI_0000047 1262.9 1272.4 
Michael_Cudlitz/dbLnn3HYogI_0000048 1304.7 1310.6 
Michael_Cudlitz/dbLnn3HYogI_0000049 1311.3 1317.0 
Michael_Cudlitz/dbLnn3HYogI_0000050 1318.6 1327.6 
Michael_Cudlitz/dbLnn3HYogI_0000051 1328.2 1335.1 
