POI: 			Sidharth_Malhotra 
Youtube ID: 	EGVcQhK3b5o 
Video length: 	1830.3 sec 
Set (V): 		dev 
 
Sidharth_Malhotra/EGVcQhK3b5o_0000001 40.7 46.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000002 46.3 51.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000003 70.8 77.4 
Sidharth_Malhotra/EGVcQhK3b5o_0000004 94.3 101.0 
Sidharth_Malhotra/EGVcQhK3b5o_0000005 121.6 126.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000006 158.3 165.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000007 219.6 226.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000008 267.9 275.3 
Sidharth_Malhotra/EGVcQhK3b5o_0000009 291.4 297.1 
Sidharth_Malhotra/EGVcQhK3b5o_0000010 308.8 314.0 
Sidharth_Malhotra/EGVcQhK3b5o_0000011 333.1 340.7 
Sidharth_Malhotra/EGVcQhK3b5o_0000012 398.4 402.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000013 406.1 417.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000014 435.4 439.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000015 479.5 483.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000016 521.1 534.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000017 542.5 549.0 
Sidharth_Malhotra/EGVcQhK3b5o_0000018 559.1 566.7 
Sidharth_Malhotra/EGVcQhK3b5o_0000019 570.0 575.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000020 595.4 601.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000021 622.6 629.7 
Sidharth_Malhotra/EGVcQhK3b5o_0000022 635.6 642.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000023 645.7 651.1 
Sidharth_Malhotra/EGVcQhK3b5o_0000024 652.5 659.5 
Sidharth_Malhotra/EGVcQhK3b5o_0000025 666.5 670.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000026 678.7 684.4 
Sidharth_Malhotra/EGVcQhK3b5o_0000027 691.1 696.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000028 699.9 707.5 
Sidharth_Malhotra/EGVcQhK3b5o_0000029 712.1 720.3 
Sidharth_Malhotra/EGVcQhK3b5o_0000030 823.7 827.7 
Sidharth_Malhotra/EGVcQhK3b5o_0000031 843.1 847.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000032 850.8 855.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000033 862.6 866.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000034 893.8 898.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000035 908.9 919.1 
Sidharth_Malhotra/EGVcQhK3b5o_0000036 929.2 933.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000037 934.0 939.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000038 984.4 988.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000039 991.9 997.5 
Sidharth_Malhotra/EGVcQhK3b5o_0000040 1029.2 1033.3 
Sidharth_Malhotra/EGVcQhK3b5o_0000041 1035.3 1039.5 
Sidharth_Malhotra/EGVcQhK3b5o_0000042 1045.6 1050.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000043 1050.3 1055.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000044 1064.7 1074.0 
Sidharth_Malhotra/EGVcQhK3b5o_0000045 1077.0 1083.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000046 1125.6 1131.4 
Sidharth_Malhotra/EGVcQhK3b5o_0000047 1132.8 1137.4 
Sidharth_Malhotra/EGVcQhK3b5o_0000048 1140.5 1147.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000049 1177.4 1182.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000050 1196.8 1205.3 
Sidharth_Malhotra/EGVcQhK3b5o_0000051 1215.5 1221.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000052 1247.7 1253.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000053 1297.8 1302.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000054 1304.0 1310.2 
Sidharth_Malhotra/EGVcQhK3b5o_0000055 1348.8 1352.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000056 1358.6 1365.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000057 1384.0 1395.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000058 1409.4 1416.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000059 1420.8 1425.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000060 1477.4 1488.5 
Sidharth_Malhotra/EGVcQhK3b5o_0000061 1492.4 1496.9 
Sidharth_Malhotra/EGVcQhK3b5o_0000062 1528.0 1532.0 
Sidharth_Malhotra/EGVcQhK3b5o_0000063 1541.8 1546.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000064 1569.2 1575.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000065 1579.0 1584.1 
Sidharth_Malhotra/EGVcQhK3b5o_0000066 1588.5 1593.4 
Sidharth_Malhotra/EGVcQhK3b5o_0000067 1655.4 1661.8 
Sidharth_Malhotra/EGVcQhK3b5o_0000068 1667.2 1671.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000069 1718.1 1723.6 
Sidharth_Malhotra/EGVcQhK3b5o_0000070 1738.4 1743.4 
