POI: 			Sidharth_Malhotra 
Youtube ID: 	slMZNCBiTYg 
Video length: 	508.5 sec 
Set (V): 		dev 
 
Sidharth_Malhotra/slMZNCBiTYg_0000001 29.3 33.9 
Sidharth_Malhotra/slMZNCBiTYg_0000002 34.2 46.3 
Sidharth_Malhotra/slMZNCBiTYg_0000003 50.9 56.4 
Sidharth_Malhotra/slMZNCBiTYg_0000004 56.5 72.3 
Sidharth_Malhotra/slMZNCBiTYg_0000005 77.7 87.3 
Sidharth_Malhotra/slMZNCBiTYg_0000006 88.2 93.3 
Sidharth_Malhotra/slMZNCBiTYg_0000007 94.5 112.7 
Sidharth_Malhotra/slMZNCBiTYg_0000008 115.5 119.6 
Sidharth_Malhotra/slMZNCBiTYg_0000009 123.0 127.5 
Sidharth_Malhotra/slMZNCBiTYg_0000010 129.9 155.9 
Sidharth_Malhotra/slMZNCBiTYg_0000011 157.1 173.9 
Sidharth_Malhotra/slMZNCBiTYg_0000012 174.3 187.0 
Sidharth_Malhotra/slMZNCBiTYg_0000013 190.0 196.4 
Sidharth_Malhotra/slMZNCBiTYg_0000014 197.4 205.6 
Sidharth_Malhotra/slMZNCBiTYg_0000015 217.9 226.4 
Sidharth_Malhotra/slMZNCBiTYg_0000016 227.0 254.6 
Sidharth_Malhotra/slMZNCBiTYg_0000017 258.3 263.1 
Sidharth_Malhotra/slMZNCBiTYg_0000018 263.9 283.0 
Sidharth_Malhotra/slMZNCBiTYg_0000019 283.2 291.3 
Sidharth_Malhotra/slMZNCBiTYg_0000020 291.6 300.7 
Sidharth_Malhotra/slMZNCBiTYg_0000021 306.6 318.1 
Sidharth_Malhotra/slMZNCBiTYg_0000022 321.0 335.8 
Sidharth_Malhotra/slMZNCBiTYg_0000023 336.1 348.8 
Sidharth_Malhotra/slMZNCBiTYg_0000024 349.0 366.1 
Sidharth_Malhotra/slMZNCBiTYg_0000025 367.0 373.4 
Sidharth_Malhotra/slMZNCBiTYg_0000026 374.0 380.4 
Sidharth_Malhotra/slMZNCBiTYg_0000027 380.6 387.6 
Sidharth_Malhotra/slMZNCBiTYg_0000028 390.4 397.0 
Sidharth_Malhotra/slMZNCBiTYg_0000029 400.0 409.9 
Sidharth_Malhotra/slMZNCBiTYg_0000030 410.2 420.0 
Sidharth_Malhotra/slMZNCBiTYg_0000031 425.4 430.4 
Sidharth_Malhotra/slMZNCBiTYg_0000032 465.6 472.5 
Sidharth_Malhotra/slMZNCBiTYg_0000033 477.6 482.6 
Sidharth_Malhotra/slMZNCBiTYg_0000034 483.7 487.8 
Sidharth_Malhotra/slMZNCBiTYg_0000035 488.2 501.2 
