POI: 			Sidharth_Malhotra 
Youtube ID: 	BhLxC_Ypzew 
Video length: 	1185.1 sec 
Set (V): 		dev 
 
Sidharth_Malhotra/BhLxC_Ypzew_0000001 91.0 103.6 
Sidharth_Malhotra/BhLxC_Ypzew_0000002 109.8 116.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000003 142.8 147.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000004 147.6 159.5 
Sidharth_Malhotra/BhLxC_Ypzew_0000005 197.5 205.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000006 210.1 217.6 
Sidharth_Malhotra/BhLxC_Ypzew_0000007 272.1 281.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000008 288.3 299.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000009 325.7 331.6 
Sidharth_Malhotra/BhLxC_Ypzew_0000010 368.6 375.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000011 376.0 380.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000012 390.0 395.4 
Sidharth_Malhotra/BhLxC_Ypzew_0000013 404.7 415.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000014 441.6 448.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000015 474.2 482.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000016 525.2 530.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000017 531.7 537.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000018 580.7 589.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000019 595.9 602.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000020 603.2 608.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000021 619.6 632.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000022 685.0 689.6 
Sidharth_Malhotra/BhLxC_Ypzew_0000023 700.0 706.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000024 750.0 754.6 
Sidharth_Malhotra/BhLxC_Ypzew_0000025 755.4 759.5 
Sidharth_Malhotra/BhLxC_Ypzew_0000026 760.8 768.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000027 773.9 782.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000028 809.2 813.7 
Sidharth_Malhotra/BhLxC_Ypzew_0000029 853.6 861.8 
Sidharth_Malhotra/BhLxC_Ypzew_0000030 862.8 867.5 
Sidharth_Malhotra/BhLxC_Ypzew_0000031 874.7 881.3 
Sidharth_Malhotra/BhLxC_Ypzew_0000032 897.8 905.7 
Sidharth_Malhotra/BhLxC_Ypzew_0000033 934.2 943.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000034 948.6 959.2 
Sidharth_Malhotra/BhLxC_Ypzew_0000035 982.6 987.0 
Sidharth_Malhotra/BhLxC_Ypzew_0000036 990.3 996.2 
Sidharth_Malhotra/BhLxC_Ypzew_0000037 1001.7 1007.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000038 1013.9 1020.2 
Sidharth_Malhotra/BhLxC_Ypzew_0000039 1049.1 1056.1 
Sidharth_Malhotra/BhLxC_Ypzew_0000040 1062.2 1067.3 
Sidharth_Malhotra/BhLxC_Ypzew_0000041 1103.5 1107.5 
