POI: 			Irrfan_Khan 
Youtube ID: 	1D22Tgx1k4A 
Video length: 	1206.4 sec 
Set (V): 		dev 
 
Irrfan_Khan/1D22Tgx1k4A_0000001 23.1 27.5 
Irrfan_Khan/1D22Tgx1k4A_0000002 51.9 61.9 
Irrfan_Khan/1D22Tgx1k4A_0000003 62.4 72.0 
Irrfan_Khan/1D22Tgx1k4A_0000004 84.8 89.9 
Irrfan_Khan/1D22Tgx1k4A_0000005 116.2 120.3 
Irrfan_Khan/1D22Tgx1k4A_0000006 125.0 131.5 
Irrfan_Khan/1D22Tgx1k4A_0000007 136.5 143.6 
Irrfan_Khan/1D22Tgx1k4A_0000008 149.5 153.6 
Irrfan_Khan/1D22Tgx1k4A_0000009 154.8 161.4 
Irrfan_Khan/1D22Tgx1k4A_0000010 162.2 179.7 
Irrfan_Khan/1D22Tgx1k4A_0000011 262.7 272.4 
Irrfan_Khan/1D22Tgx1k4A_0000012 274.8 280.4 
Irrfan_Khan/1D22Tgx1k4A_0000013 280.6 289.2 
Irrfan_Khan/1D22Tgx1k4A_0000014 293.4 300.5 
Irrfan_Khan/1D22Tgx1k4A_0000015 301.0 305.6 
Irrfan_Khan/1D22Tgx1k4A_0000016 321.5 327.7 
Irrfan_Khan/1D22Tgx1k4A_0000017 333.3 337.5 
Irrfan_Khan/1D22Tgx1k4A_0000018 346.5 353.8 
Irrfan_Khan/1D22Tgx1k4A_0000019 373.4 379.7 
Irrfan_Khan/1D22Tgx1k4A_0000020 380.8 391.4 
Irrfan_Khan/1D22Tgx1k4A_0000021 391.9 398.1 
Irrfan_Khan/1D22Tgx1k4A_0000022 403.8 409.4 
Irrfan_Khan/1D22Tgx1k4A_0000023 411.9 429.1 
Irrfan_Khan/1D22Tgx1k4A_0000024 429.6 442.0 
Irrfan_Khan/1D22Tgx1k4A_0000025 444.6 451.1 
Irrfan_Khan/1D22Tgx1k4A_0000026 510.2 522.5 
Irrfan_Khan/1D22Tgx1k4A_0000027 570.2 574.8 
Irrfan_Khan/1D22Tgx1k4A_0000028 586.9 594.4 
Irrfan_Khan/1D22Tgx1k4A_0000029 606.2 610.2 
Irrfan_Khan/1D22Tgx1k4A_0000030 620.8 625.9 
Irrfan_Khan/1D22Tgx1k4A_0000031 626.7 633.4 
Irrfan_Khan/1D22Tgx1k4A_0000032 634.1 641.9 
Irrfan_Khan/1D22Tgx1k4A_0000033 648.4 655.4 
Irrfan_Khan/1D22Tgx1k4A_0000034 722.0 727.6 
Irrfan_Khan/1D22Tgx1k4A_0000035 744.6 751.9 
Irrfan_Khan/1D22Tgx1k4A_0000036 756.2 760.6 
Irrfan_Khan/1D22Tgx1k4A_0000037 763.0 767.7 
Irrfan_Khan/1D22Tgx1k4A_0000038 773.8 779.5 
Irrfan_Khan/1D22Tgx1k4A_0000039 928.2 933.8 
Irrfan_Khan/1D22Tgx1k4A_0000040 940.8 945.4 
Irrfan_Khan/1D22Tgx1k4A_0000041 950.7 958.0 
Irrfan_Khan/1D22Tgx1k4A_0000042 958.9 966.8 
Irrfan_Khan/1D22Tgx1k4A_0000043 969.0 976.0 
Irrfan_Khan/1D22Tgx1k4A_0000044 980.2 986.6 
Irrfan_Khan/1D22Tgx1k4A_0000045 1002.1 1007.4 
Irrfan_Khan/1D22Tgx1k4A_0000046 1008.6 1013.7 
Irrfan_Khan/1D22Tgx1k4A_0000047 1014.2 1024.1 
Irrfan_Khan/1D22Tgx1k4A_0000048 1026.6 1030.8 
Irrfan_Khan/1D22Tgx1k4A_0000049 1032.9 1044.5 
Irrfan_Khan/1D22Tgx1k4A_0000050 1044.6 1050.2 
Irrfan_Khan/1D22Tgx1k4A_0000051 1060.8 1070.2 
Irrfan_Khan/1D22Tgx1k4A_0000052 1088.6 1094.5 
Irrfan_Khan/1D22Tgx1k4A_0000053 1121.3 1128.3 
