POI: 			Melora_Hardin 
Youtube ID: 	1ySH8nlEGwk 
Video length: 	499.7 sec 
Set (V): 		dev 
 
Melora_Hardin/1ySH8nlEGwk_0000001 00.7 18.2 
Melora_Hardin/1ySH8nlEGwk_0000002 23.8 29.9 
Melora_Hardin/1ySH8nlEGwk_0000003 30.6 37.6 
Melora_Hardin/1ySH8nlEGwk_0000004 38.3 50.2 
Melora_Hardin/1ySH8nlEGwk_0000005 50.8 65.0 
Melora_Hardin/1ySH8nlEGwk_0000006 65.8 75.5 
Melora_Hardin/1ySH8nlEGwk_0000007 76.2 85.9 
Melora_Hardin/1ySH8nlEGwk_0000008 102.2 120.8 
Melora_Hardin/1ySH8nlEGwk_0000009 126.7 133.9 
Melora_Hardin/1ySH8nlEGwk_0000010 134.0 145.0 
Melora_Hardin/1ySH8nlEGwk_0000011 146.1 167.8 
Melora_Hardin/1ySH8nlEGwk_0000012 187.3 199.8 
Melora_Hardin/1ySH8nlEGwk_0000013 209.4 215.8 
Melora_Hardin/1ySH8nlEGwk_0000014 216.8 222.4 
Melora_Hardin/1ySH8nlEGwk_0000015 224.4 232.6 
Melora_Hardin/1ySH8nlEGwk_0000016 260.2 267.1 
Melora_Hardin/1ySH8nlEGwk_0000017 277.8 283.0 
Melora_Hardin/1ySH8nlEGwk_0000018 297.5 306.3 
Melora_Hardin/1ySH8nlEGwk_0000019 314.4 319.4 
Melora_Hardin/1ySH8nlEGwk_0000020 350.0 360.0 
Melora_Hardin/1ySH8nlEGwk_0000021 421.0 427.8 
Melora_Hardin/1ySH8nlEGwk_0000022 448.6 462.9 
Melora_Hardin/1ySH8nlEGwk_0000023 463.1 474.0 
Melora_Hardin/1ySH8nlEGwk_0000024 474.2 479.3 
