POI: 			Cliff_Curtis 
Youtube ID: 	oy9h7YhblEg 
Video length: 	514.6 sec 
Set (V): 		dev 
 
Cliff_Curtis/oy9h7YhblEg_0000001 18.9 23.8 
Cliff_Curtis/oy9h7YhblEg_0000002 24.0 29.1 
Cliff_Curtis/oy9h7YhblEg_0000003 30.1 38.1 
Cliff_Curtis/oy9h7YhblEg_0000004 38.3 47.2 
Cliff_Curtis/oy9h7YhblEg_0000005 50.5 67.2 
Cliff_Curtis/oy9h7YhblEg_0000006 67.8 78.6 
Cliff_Curtis/oy9h7YhblEg_0000007 79.9 84.6 
Cliff_Curtis/oy9h7YhblEg_0000008 84.8 89.6 
Cliff_Curtis/oy9h7YhblEg_0000009 100.2 108.1 
Cliff_Curtis/oy9h7YhblEg_0000010 108.4 118.2 
Cliff_Curtis/oy9h7YhblEg_0000011 125.4 129.5 
Cliff_Curtis/oy9h7YhblEg_0000012 134.4 144.3 
Cliff_Curtis/oy9h7YhblEg_0000013 152.2 158.6 
Cliff_Curtis/oy9h7YhblEg_0000014 179.1 206.2 
Cliff_Curtis/oy9h7YhblEg_0000015 206.6 211.1 
Cliff_Curtis/oy9h7YhblEg_0000016 214.6 225.4 
Cliff_Curtis/oy9h7YhblEg_0000017 230.6 236.4 
Cliff_Curtis/oy9h7YhblEg_0000018 247.1 252.1 
Cliff_Curtis/oy9h7YhblEg_0000019 252.2 261.8 
Cliff_Curtis/oy9h7YhblEg_0000020 277.6 291.9 
Cliff_Curtis/oy9h7YhblEg_0000021 298.0 302.9 
Cliff_Curtis/oy9h7YhblEg_0000022 303.7 311.9 
Cliff_Curtis/oy9h7YhblEg_0000023 319.1 327.0 
Cliff_Curtis/oy9h7YhblEg_0000024 327.1 333.2 
Cliff_Curtis/oy9h7YhblEg_0000025 334.8 339.2 
Cliff_Curtis/oy9h7YhblEg_0000026 342.8 347.2 
Cliff_Curtis/oy9h7YhblEg_0000027 347.4 355.2 
Cliff_Curtis/oy9h7YhblEg_0000028 360.4 370.4 
Cliff_Curtis/oy9h7YhblEg_0000029 371.2 383.4 
Cliff_Curtis/oy9h7YhblEg_0000030 406.1 412.3 
Cliff_Curtis/oy9h7YhblEg_0000031 414.6 419.0 
Cliff_Curtis/oy9h7YhblEg_0000032 426.7 436.3 
Cliff_Curtis/oy9h7YhblEg_0000033 440.4 447.6 
Cliff_Curtis/oy9h7YhblEg_0000034 447.8 465.6 
Cliff_Curtis/oy9h7YhblEg_0000035 478.5 483.2 
