POI: 			Cliff_Curtis 
Youtube ID: 	_uI_dzgMsd0 
Video length: 	581.1 sec 
Set (V): 		dev 
 
Cliff_Curtis/_uI_dzgMsd0_0000001 13.2 26.2 
Cliff_Curtis/_uI_dzgMsd0_0000002 27.2 31.6 
Cliff_Curtis/_uI_dzgMsd0_0000003 73.9 78.3 
Cliff_Curtis/_uI_dzgMsd0_0000004 78.4 92.5 
Cliff_Curtis/_uI_dzgMsd0_0000005 146.3 151.1 
Cliff_Curtis/_uI_dzgMsd0_0000006 152.1 156.3 
Cliff_Curtis/_uI_dzgMsd0_0000007 157.0 171.9 
Cliff_Curtis/_uI_dzgMsd0_0000008 186.8 196.4 
Cliff_Curtis/_uI_dzgMsd0_0000009 203.2 208.1 
Cliff_Curtis/_uI_dzgMsd0_0000010 263.5 269.0 
Cliff_Curtis/_uI_dzgMsd0_0000011 270.4 276.1 
Cliff_Curtis/_uI_dzgMsd0_0000012 322.9 329.6 
Cliff_Curtis/_uI_dzgMsd0_0000013 333.5 338.2 
Cliff_Curtis/_uI_dzgMsd0_0000014 399.6 404.4 
Cliff_Curtis/_uI_dzgMsd0_0000015 431.0 436.7 
Cliff_Curtis/_uI_dzgMsd0_0000016 471.8 479.6 
Cliff_Curtis/_uI_dzgMsd0_0000017 494.6 498.6 
Cliff_Curtis/_uI_dzgMsd0_0000018 521.6 539.4 
Cliff_Curtis/_uI_dzgMsd0_0000019 543.5 547.5 
Cliff_Curtis/_uI_dzgMsd0_0000020 554.4 560.7 
