POI: 			Cliff_Curtis 
Youtube ID: 	6gP7IlaBVxk 
Video length: 	471.2 sec 
Set (V): 		dev 
 
Cliff_Curtis/6gP7IlaBVxk_0000001 44.5 56.5 
Cliff_Curtis/6gP7IlaBVxk_0000002 59.3 65.8 
Cliff_Curtis/6gP7IlaBVxk_0000003 113.4 122.3 
Cliff_Curtis/6gP7IlaBVxk_0000004 131.1 135.8 
Cliff_Curtis/6gP7IlaBVxk_0000005 135.9 144.1 
Cliff_Curtis/6gP7IlaBVxk_0000006 146.4 156.2 
Cliff_Curtis/6gP7IlaBVxk_0000007 172.1 195.3 
Cliff_Curtis/6gP7IlaBVxk_0000008 212.1 221.2 
Cliff_Curtis/6gP7IlaBVxk_0000009 221.4 240.4 
Cliff_Curtis/6gP7IlaBVxk_0000010 251.1 256.0 
Cliff_Curtis/6gP7IlaBVxk_0000011 278.8 283.8 
Cliff_Curtis/6gP7IlaBVxk_0000012 284.2 293.8 
Cliff_Curtis/6gP7IlaBVxk_0000013 295.8 302.3 
Cliff_Curtis/6gP7IlaBVxk_0000014 302.8 308.9 
Cliff_Curtis/6gP7IlaBVxk_0000015 309.8 315.6 
Cliff_Curtis/6gP7IlaBVxk_0000016 330.4 342.6 
Cliff_Curtis/6gP7IlaBVxk_0000017 343.6 352.2 
Cliff_Curtis/6gP7IlaBVxk_0000018 401.2 425.5 
