POI: 			Tamara_Tunie 
Youtube ID: 	wMiWdqfQvA0 
Video length: 	202.4 sec 
Set (V): 		dev 
 
Tamara_Tunie/wMiWdqfQvA0_0000001 42.8 48.4 
Tamara_Tunie/wMiWdqfQvA0_0000002 55.7 61.8 
Tamara_Tunie/wMiWdqfQvA0_0000003 39.0 49.9 
Tamara_Tunie/wMiWdqfQvA0_0000004 50.5 57.9 
Tamara_Tunie/wMiWdqfQvA0_0000005 58.3 64.0 
Tamara_Tunie/wMiWdqfQvA0_0000006 64.7 74.1 
Tamara_Tunie/wMiWdqfQvA0_0000007 74.2 78.2 
Tamara_Tunie/wMiWdqfQvA0_0000008 78.9 83.2 
Tamara_Tunie/wMiWdqfQvA0_0000009 83.7 89.8 
Tamara_Tunie/wMiWdqfQvA0_0000010 90.2 95.1 
Tamara_Tunie/wMiWdqfQvA0_0000011 95.8 101.0 
Tamara_Tunie/wMiWdqfQvA0_0000012 103.2 110.4 
Tamara_Tunie/wMiWdqfQvA0_0000013 123.4 132.4 
Tamara_Tunie/wMiWdqfQvA0_0000014 133.0 143.9 
Tamara_Tunie/wMiWdqfQvA0_0000015 147.0 152.5 
Tamara_Tunie/wMiWdqfQvA0_0000016 152.6 157.7 
Tamara_Tunie/wMiWdqfQvA0_0000017 158.5 170.2 
Tamara_Tunie/wMiWdqfQvA0_0000018 178.3 184.2 
Tamara_Tunie/wMiWdqfQvA0_0000019 186.9 195.4 
