POI: 			Donnie_Yen 
Youtube ID: 	hW2IIgCvX54 
Video length: 	1910.5 sec 
Set (V): 		dev 
 
Donnie_Yen/hW2IIgCvX54_0000001 51.2 56.2 
Donnie_Yen/hW2IIgCvX54_0000002 59.1 63.9 
Donnie_Yen/hW2IIgCvX54_0000003 142.2 146.9 
Donnie_Yen/hW2IIgCvX54_0000004 149.0 153.7 
Donnie_Yen/hW2IIgCvX54_0000005 223.6 229.1 
Donnie_Yen/hW2IIgCvX54_0000006 230.1 238.2 
Donnie_Yen/hW2IIgCvX54_0000007 252.5 257.7 
Donnie_Yen/hW2IIgCvX54_0000008 252.8 257.7 
Donnie_Yen/hW2IIgCvX54_0000009 283.9 294.8 
Donnie_Yen/hW2IIgCvX54_0000010 295.7 301.8 
Donnie_Yen/hW2IIgCvX54_0000011 321.9 326.1 
Donnie_Yen/hW2IIgCvX54_0000012 326.2 331.9 
Donnie_Yen/hW2IIgCvX54_0000013 353.9 358.6 
Donnie_Yen/hW2IIgCvX54_0000014 360.8 370.7 
Donnie_Yen/hW2IIgCvX54_0000015 405.9 411.3 
Donnie_Yen/hW2IIgCvX54_0000016 412.2 419.6 
Donnie_Yen/hW2IIgCvX54_0000017 457.4 461.8 
Donnie_Yen/hW2IIgCvX54_0000018 496.9 502.4 
Donnie_Yen/hW2IIgCvX54_0000019 560.7 567.6 
Donnie_Yen/hW2IIgCvX54_0000020 600.0 606.7 
Donnie_Yen/hW2IIgCvX54_0000021 635.3 644.4 
Donnie_Yen/hW2IIgCvX54_0000022 649.6 661.0 
Donnie_Yen/hW2IIgCvX54_0000023 663.6 671.3 
Donnie_Yen/hW2IIgCvX54_0000024 673.4 677.9 
Donnie_Yen/hW2IIgCvX54_0000025 729.0 734.2 
Donnie_Yen/hW2IIgCvX54_0000026 740.2 747.4 
Donnie_Yen/hW2IIgCvX54_0000027 748.8 753.3 
Donnie_Yen/hW2IIgCvX54_0000028 755.1 765.1 
Donnie_Yen/hW2IIgCvX54_0000029 766.6 773.6 
Donnie_Yen/hW2IIgCvX54_0000030 827.1 838.1 
Donnie_Yen/hW2IIgCvX54_0000031 842.8 847.6 
Donnie_Yen/hW2IIgCvX54_0000032 864.5 869.6 
Donnie_Yen/hW2IIgCvX54_0000033 876.0 881.9 
Donnie_Yen/hW2IIgCvX54_0000034 887.2 892.1 
Donnie_Yen/hW2IIgCvX54_0000035 897.2 901.1 
Donnie_Yen/hW2IIgCvX54_0000036 907.2 914.8 
Donnie_Yen/hW2IIgCvX54_0000037 933.0 937.2 
Donnie_Yen/hW2IIgCvX54_0000038 940.9 956.2 
Donnie_Yen/hW2IIgCvX54_0000039 991.0 995.8 
Donnie_Yen/hW2IIgCvX54_0000040 1009.7 1018.7 
Donnie_Yen/hW2IIgCvX54_0000041 1055.4 1062.4 
Donnie_Yen/hW2IIgCvX54_0000042 1078.5 1084.4 
Donnie_Yen/hW2IIgCvX54_0000043 1085.6 1095.2 
Donnie_Yen/hW2IIgCvX54_0000044 1133.9 1143.0 
Donnie_Yen/hW2IIgCvX54_0000045 1218.2 1222.7 
Donnie_Yen/hW2IIgCvX54_0000046 1300.6 1308.1 
Donnie_Yen/hW2IIgCvX54_0000047 1314.1 1319.1 
Donnie_Yen/hW2IIgCvX54_0000048 1407.0 1413.9 
Donnie_Yen/hW2IIgCvX54_0000049 1456.9 1462.1 
Donnie_Yen/hW2IIgCvX54_0000050 1483.7 1489.1 
Donnie_Yen/hW2IIgCvX54_0000051 1564.7 1573.6 
Donnie_Yen/hW2IIgCvX54_0000052 1599.3 1607.9 
Donnie_Yen/hW2IIgCvX54_0000053 1650.4 1655.5 
Donnie_Yen/hW2IIgCvX54_0000054 1677.4 1681.6 
Donnie_Yen/hW2IIgCvX54_0000055 1692.6 1699.4 
Donnie_Yen/hW2IIgCvX54_0000056 1708.2 1712.4 
Donnie_Yen/hW2IIgCvX54_0000057 1714.0 1719.4 
Donnie_Yen/hW2IIgCvX54_0000058 1729.3 1736.7 
Donnie_Yen/hW2IIgCvX54_0000059 1771.8 1781.2 
Donnie_Yen/hW2IIgCvX54_0000060 1784.5 1791.2 
Donnie_Yen/hW2IIgCvX54_0000061 1792.6 1797.8 
Donnie_Yen/hW2IIgCvX54_0000062 1863.6 1868.2 
