POI: 			Donnie_Yen 
Youtube ID: 	apDg32BG4RI 
Video length: 	1179.3 sec 
Set (V): 		dev 
 
Donnie_Yen/apDg32BG4RI_0000001 20.8 24.9 
Donnie_Yen/apDg32BG4RI_0000002 27.2 34.6 
Donnie_Yen/apDg32BG4RI_0000003 51.5 56.7 
Donnie_Yen/apDg32BG4RI_0000004 58.5 68.2 
Donnie_Yen/apDg32BG4RI_0000005 69.6 74.3 
Donnie_Yen/apDg32BG4RI_0000006 75.1 83.1 
Donnie_Yen/apDg32BG4RI_0000007 88.6 93.0 
Donnie_Yen/apDg32BG4RI_0000008 107.2 116.4 
Donnie_Yen/apDg32BG4RI_0000009 164.6 177.5 
Donnie_Yen/apDg32BG4RI_0000010 195.2 200.6 
Donnie_Yen/apDg32BG4RI_0000011 200.8 209.6 
Donnie_Yen/apDg32BG4RI_0000012 221.6 243.8 
Donnie_Yen/apDg32BG4RI_0000013 273.7 277.6 
Donnie_Yen/apDg32BG4RI_0000014 279.0 287.0 
Donnie_Yen/apDg32BG4RI_0000015 333.0 341.4 
Donnie_Yen/apDg32BG4RI_0000016 342.1 359.8 
Donnie_Yen/apDg32BG4RI_0000017 360.8 365.5 
Donnie_Yen/apDg32BG4RI_0000018 403.9 418.2 
Donnie_Yen/apDg32BG4RI_0000019 419.5 425.4 
Donnie_Yen/apDg32BG4RI_0000020 440.0 446.6 
Donnie_Yen/apDg32BG4RI_0000021 449.6 455.2 
Donnie_Yen/apDg32BG4RI_0000022 469.3 483.0 
Donnie_Yen/apDg32BG4RI_0000023 490.4 503.2 
Donnie_Yen/apDg32BG4RI_0000024 508.6 517.6 
Donnie_Yen/apDg32BG4RI_0000025 533.8 541.6 
Donnie_Yen/apDg32BG4RI_0000026 546.0 556.4 
Donnie_Yen/apDg32BG4RI_0000027 562.6 567.8 
Donnie_Yen/apDg32BG4RI_0000028 569.0 580.6 
Donnie_Yen/apDg32BG4RI_0000029 604.3 612.8 
Donnie_Yen/apDg32BG4RI_0000030 651.6 659.6 
Donnie_Yen/apDg32BG4RI_0000031 669.7 676.4 
Donnie_Yen/apDg32BG4RI_0000032 677.4 700.1 
Donnie_Yen/apDg32BG4RI_0000033 703.3 712.8 
Donnie_Yen/apDg32BG4RI_0000034 733.4 747.5 
Donnie_Yen/apDg32BG4RI_0000035 749.7 755.6 
Donnie_Yen/apDg32BG4RI_0000036 764.4 781.8 
Donnie_Yen/apDg32BG4RI_0000037 786.6 790.6 
Donnie_Yen/apDg32BG4RI_0000038 791.8 798.7 
Donnie_Yen/apDg32BG4RI_0000039 817.2 824.1 
Donnie_Yen/apDg32BG4RI_0000040 825.5 830.4 
Donnie_Yen/apDg32BG4RI_0000041 830.9 835.4 
Donnie_Yen/apDg32BG4RI_0000042 847.6 852.2 
Donnie_Yen/apDg32BG4RI_0000043 858.0 862.7 
Donnie_Yen/apDg32BG4RI_0000044 874.0 884.6 
Donnie_Yen/apDg32BG4RI_0000045 886.1 897.6 
Donnie_Yen/apDg32BG4RI_0000046 898.6 903.2 
