POI: 			Fiona_Shaw 
Youtube ID: 	K0il0nc1y3U 
Video length: 	809.8 sec 
Set (V): 		dev 
 
Fiona_Shaw/K0il0nc1y3U_0000001 28.0 41.4 
Fiona_Shaw/K0il0nc1y3U_0000002 55.7 60.3 
Fiona_Shaw/K0il0nc1y3U_0000003 68.6 79.0 
Fiona_Shaw/K0il0nc1y3U_0000004 81.1 88.4 
Fiona_Shaw/K0il0nc1y3U_0000005 91.4 98.1 
Fiona_Shaw/K0il0nc1y3U_0000006 105.4 111.9 
Fiona_Shaw/K0il0nc1y3U_0000007 112.2 119.7 
Fiona_Shaw/K0il0nc1y3U_0000008 122.1 142.7 
Fiona_Shaw/K0il0nc1y3U_0000009 153.0 171.1 
Fiona_Shaw/K0il0nc1y3U_0000010 184.0 210.4 
Fiona_Shaw/K0il0nc1y3U_0000011 232.9 240.3 
Fiona_Shaw/K0il0nc1y3U_0000012 245.6 249.7 
Fiona_Shaw/K0il0nc1y3U_0000013 252.3 259.0 
Fiona_Shaw/K0il0nc1y3U_0000014 260.8 270.8 
Fiona_Shaw/K0il0nc1y3U_0000015 273.3 280.3 
Fiona_Shaw/K0il0nc1y3U_0000016 286.0 307.4 
Fiona_Shaw/K0il0nc1y3U_0000017 316.6 324.0 
Fiona_Shaw/K0il0nc1y3U_0000018 329.2 334.6 
Fiona_Shaw/K0il0nc1y3U_0000019 337.1 344.1 
Fiona_Shaw/K0il0nc1y3U_0000020 349.4 359.7 
Fiona_Shaw/K0il0nc1y3U_0000021 365.4 371.0 
Fiona_Shaw/K0il0nc1y3U_0000022 372.3 390.2 
Fiona_Shaw/K0il0nc1y3U_0000023 396.9 404.4 
Fiona_Shaw/K0il0nc1y3U_0000024 408.1 413.8 
Fiona_Shaw/K0il0nc1y3U_0000025 414.1 424.5 
Fiona_Shaw/K0il0nc1y3U_0000026 428.2 440.2 
Fiona_Shaw/K0il0nc1y3U_0000027 454.2 462.8 
Fiona_Shaw/K0il0nc1y3U_0000028 465.2 474.6 
Fiona_Shaw/K0il0nc1y3U_0000029 476.1 482.8 
Fiona_Shaw/K0il0nc1y3U_0000030 483.2 499.2 
Fiona_Shaw/K0il0nc1y3U_0000031 508.8 515.0 
Fiona_Shaw/K0il0nc1y3U_0000032 516.0 530.7 
Fiona_Shaw/K0il0nc1y3U_0000033 531.2 538.3 
Fiona_Shaw/K0il0nc1y3U_0000034 539.4 551.9 
Fiona_Shaw/K0il0nc1y3U_0000035 591.4 600.7 
Fiona_Shaw/K0il0nc1y3U_0000036 601.6 609.4 
Fiona_Shaw/K0il0nc1y3U_0000037 620.8 629.0 
Fiona_Shaw/K0il0nc1y3U_0000038 631.7 642.5 
Fiona_Shaw/K0il0nc1y3U_0000039 643.2 648.9 
Fiona_Shaw/K0il0nc1y3U_0000040 667.4 675.9 
Fiona_Shaw/K0il0nc1y3U_0000041 676.0 681.1 
Fiona_Shaw/K0il0nc1y3U_0000042 682.6 689.3 
Fiona_Shaw/K0il0nc1y3U_0000043 689.4 693.4 
Fiona_Shaw/K0il0nc1y3U_0000044 706.4 712.3 
Fiona_Shaw/K0il0nc1y3U_0000045 719.1 726.5 
Fiona_Shaw/K0il0nc1y3U_0000046 731.5 742.8 
Fiona_Shaw/K0il0nc1y3U_0000047 761.5 766.8 
Fiona_Shaw/K0il0nc1y3U_0000048 775.0 785.5 
Fiona_Shaw/K0il0nc1y3U_0000049 786.2 791.4 
Fiona_Shaw/K0il0nc1y3U_0000050 791.9 798.4 
