POI: 			Fiona_Shaw 
Youtube ID: 	Ypha6vVMJDI 
Video length: 	728.6 sec 
Set (V): 		dev 
 
Fiona_Shaw/Ypha6vVMJDI_0000001 08.6 15.3 
Fiona_Shaw/Ypha6vVMJDI_0000002 21.8 64.5 
Fiona_Shaw/Ypha6vVMJDI_0000003 65.2 84.4 
Fiona_Shaw/Ypha6vVMJDI_0000004 85.3 95.6 
Fiona_Shaw/Ypha6vVMJDI_0000005 96.2 107.1 
Fiona_Shaw/Ypha6vVMJDI_0000006 119.8 131.9 
Fiona_Shaw/Ypha6vVMJDI_0000007 135.9 140.2 
Fiona_Shaw/Ypha6vVMJDI_0000008 140.4 147.8 
Fiona_Shaw/Ypha6vVMJDI_0000009 148.7 158.0 
Fiona_Shaw/Ypha6vVMJDI_0000010 161.1 168.8 
Fiona_Shaw/Ypha6vVMJDI_0000011 169.3 176.7 
Fiona_Shaw/Ypha6vVMJDI_0000012 184.0 199.7 
Fiona_Shaw/Ypha6vVMJDI_0000013 202.4 219.8 
Fiona_Shaw/Ypha6vVMJDI_0000014 230.5 244.9 
Fiona_Shaw/Ypha6vVMJDI_0000015 248.9 264.5 
Fiona_Shaw/Ypha6vVMJDI_0000016 265.6 277.1 
Fiona_Shaw/Ypha6vVMJDI_0000017 279.0 285.3 
Fiona_Shaw/Ypha6vVMJDI_0000018 286.2 294.0 
Fiona_Shaw/Ypha6vVMJDI_0000019 296.2 307.8 
Fiona_Shaw/Ypha6vVMJDI_0000020 318.0 325.8 
Fiona_Shaw/Ypha6vVMJDI_0000021 327.0 334.8 
Fiona_Shaw/Ypha6vVMJDI_0000022 338.2 358.8 
Fiona_Shaw/Ypha6vVMJDI_0000023 359.2 371.8 
Fiona_Shaw/Ypha6vVMJDI_0000024 372.2 379.1 
Fiona_Shaw/Ypha6vVMJDI_0000025 380.6 417.1 
Fiona_Shaw/Ypha6vVMJDI_0000026 423.4 434.1 
Fiona_Shaw/Ypha6vVMJDI_0000027 440.8 449.8 
Fiona_Shaw/Ypha6vVMJDI_0000028 453.6 458.3 
Fiona_Shaw/Ypha6vVMJDI_0000029 459.0 464.7 
Fiona_Shaw/Ypha6vVMJDI_0000030 466.6 472.3 
Fiona_Shaw/Ypha6vVMJDI_0000031 473.2 480.3 
Fiona_Shaw/Ypha6vVMJDI_0000032 489.2 498.4 
Fiona_Shaw/Ypha6vVMJDI_0000033 511.6 515.6 
Fiona_Shaw/Ypha6vVMJDI_0000034 516.0 526.0 
Fiona_Shaw/Ypha6vVMJDI_0000035 526.8 541.1 
Fiona_Shaw/Ypha6vVMJDI_0000036 551.6 560.2 
Fiona_Shaw/Ypha6vVMJDI_0000037 564.5 572.9 
Fiona_Shaw/Ypha6vVMJDI_0000038 582.4 588.8 
Fiona_Shaw/Ypha6vVMJDI_0000039 591.1 595.6 
Fiona_Shaw/Ypha6vVMJDI_0000040 595.7 607.7 
Fiona_Shaw/Ypha6vVMJDI_0000041 608.0 617.2 
Fiona_Shaw/Ypha6vVMJDI_0000042 621.7 630.4 
Fiona_Shaw/Ypha6vVMJDI_0000043 631.1 645.6 
Fiona_Shaw/Ypha6vVMJDI_0000044 648.7 660.2 
Fiona_Shaw/Ypha6vVMJDI_0000045 662.6 672.4 
Fiona_Shaw/Ypha6vVMJDI_0000046 672.7 683.7 
Fiona_Shaw/Ypha6vVMJDI_0000047 685.0 707.4 
Fiona_Shaw/Ypha6vVMJDI_0000048 707.5 721.0 
Fiona_Shaw/Ypha6vVMJDI_0000049 722.0 726.5 
