POI: 			Mark_Feuerstein 
Youtube ID: 	377w7_cw5U0 
Video length: 	286.5 sec 
Set (V): 		dev 
 
Mark_Feuerstein/377w7_cw5U0_0000001 12.5 18.2 
Mark_Feuerstein/377w7_cw5U0_0000002 24.4 28.9 
Mark_Feuerstein/377w7_cw5U0_0000003 34.7 43.9 
Mark_Feuerstein/377w7_cw5U0_0000004 65.1 74.7 
Mark_Feuerstein/377w7_cw5U0_0000005 77.8 87.0 
Mark_Feuerstein/377w7_cw5U0_0000006 92.1 96.1 
Mark_Feuerstein/377w7_cw5U0_0000007 108.7 114.2 
Mark_Feuerstein/377w7_cw5U0_0000008 120.7 125.9 
Mark_Feuerstein/377w7_cw5U0_0000009 126.1 131.7 
Mark_Feuerstein/377w7_cw5U0_0000010 152.2 162.1 
Mark_Feuerstein/377w7_cw5U0_0000011 167.8 172.6 
Mark_Feuerstein/377w7_cw5U0_0000012 175.5 184.2 
Mark_Feuerstein/377w7_cw5U0_0000013 188.9 193.6 
Mark_Feuerstein/377w7_cw5U0_0000014 196.7 201.7 
Mark_Feuerstein/377w7_cw5U0_0000015 218.1 234.2 
Mark_Feuerstein/377w7_cw5U0_0000016 253.6 264.9 
