POI: 			Mark_Feuerstein 
Youtube ID: 	3oqzMfP3xTU 
Video length: 	253.7 sec 
Set (V): 		dev 
 
Mark_Feuerstein/3oqzMfP3xTU_0000001 15.2 42.2 
Mark_Feuerstein/3oqzMfP3xTU_0000002 42.5 51.0 
Mark_Feuerstein/3oqzMfP3xTU_0000003 52.7 66.1 
Mark_Feuerstein/3oqzMfP3xTU_0000004 73.4 79.0 
Mark_Feuerstein/3oqzMfP3xTU_0000005 79.7 87.8 
Mark_Feuerstein/3oqzMfP3xTU_0000006 95.0 99.7 
Mark_Feuerstein/3oqzMfP3xTU_0000007 100.8 105.2 
Mark_Feuerstein/3oqzMfP3xTU_0000008 126.7 131.7 
Mark_Feuerstein/3oqzMfP3xTU_0000009 137.2 145.4 
Mark_Feuerstein/3oqzMfP3xTU_0000010 115.5 121.4 
Mark_Feuerstein/3oqzMfP3xTU_0000011 126.8 132.6 
Mark_Feuerstein/3oqzMfP3xTU_0000012 136.4 145.8 
Mark_Feuerstein/3oqzMfP3xTU_0000013 148.6 153.1 
Mark_Feuerstein/3oqzMfP3xTU_0000014 157.0 161.7 
Mark_Feuerstein/3oqzMfP3xTU_0000015 166.0 180.8 
Mark_Feuerstein/3oqzMfP3xTU_0000016 188.6 202.8 
Mark_Feuerstein/3oqzMfP3xTU_0000017 208.8 217.9 
Mark_Feuerstein/3oqzMfP3xTU_0000018 218.1 237.2 
