POI: 			Mary_McDonnell 
Youtube ID: 	GCYS3E4Ckqo 
Video length: 	494.0 sec 
Set (V): 		dev 
 
Mary_McDonnell/GCYS3E4Ckqo_0000001 18.0 31.2 
Mary_McDonnell/GCYS3E4Ckqo_0000002 32.7 54.6 
Mary_McDonnell/GCYS3E4Ckqo_0000003 59.2 68.5 
Mary_McDonnell/GCYS3E4Ckqo_0000004 84.6 89.8 
Mary_McDonnell/GCYS3E4Ckqo_0000005 42.8 47.9 
Mary_McDonnell/GCYS3E4Ckqo_0000006 48.2 58.5 
Mary_McDonnell/GCYS3E4Ckqo_0000007 59.4 68.5 
Mary_McDonnell/GCYS3E4Ckqo_0000008 92.1 118.6 
Mary_McDonnell/GCYS3E4Ckqo_0000009 122.0 163.1 
Mary_McDonnell/GCYS3E4Ckqo_0000010 184.6 207.0 
Mary_McDonnell/GCYS3E4Ckqo_0000011 208.2 235.6 
Mary_McDonnell/GCYS3E4Ckqo_0000012 242.4 247.1 
Mary_McDonnell/GCYS3E4Ckqo_0000013 247.8 255.8 
Mary_McDonnell/GCYS3E4Ckqo_0000014 270.9 278.7 
Mary_McDonnell/GCYS3E4Ckqo_0000015 280.7 302.2 
Mary_McDonnell/GCYS3E4Ckqo_0000016 217.6 226.8 
Mary_McDonnell/GCYS3E4Ckqo_0000017 272.8 278.8 
Mary_McDonnell/GCYS3E4Ckqo_0000018 280.9 295.4 
Mary_McDonnell/GCYS3E4Ckqo_0000019 302.9 336.5 
Mary_McDonnell/GCYS3E4Ckqo_0000020 347.5 375.8 
Mary_McDonnell/GCYS3E4Ckqo_0000021 376.5 380.9 
Mary_McDonnell/GCYS3E4Ckqo_0000022 385.1 395.8 
Mary_McDonnell/GCYS3E4Ckqo_0000023 396.4 407.3 
Mary_McDonnell/GCYS3E4Ckqo_0000024 407.8 436.0 
Mary_McDonnell/GCYS3E4Ckqo_0000025 437.4 450.0 
Mary_McDonnell/GCYS3E4Ckqo_0000026 467.6 472.2 
