POI: 			Lesley_Manville 
Youtube ID: 	gb9nl-_k-Xc 
Video length: 	330.4 sec 
Set (V): 		dev 
 
Lesley_Manville/gb9nl-_k-Xc_0000001 16.3 21.4 
Lesley_Manville/gb9nl-_k-Xc_0000002 25.3 32.4 
Lesley_Manville/gb9nl-_k-Xc_0000003 36.2 45.6 
Lesley_Manville/gb9nl-_k-Xc_0000004 47.6 52.8 
Lesley_Manville/gb9nl-_k-Xc_0000005 53.1 59.2 
Lesley_Manville/gb9nl-_k-Xc_0000006 85.8 91.3 
Lesley_Manville/gb9nl-_k-Xc_0000007 94.5 125.6 
Lesley_Manville/gb9nl-_k-Xc_0000008 135.2 151.5 
Lesley_Manville/gb9nl-_k-Xc_0000009 160.0 165.3 
Lesley_Manville/gb9nl-_k-Xc_0000010 199.1 215.6 
Lesley_Manville/gb9nl-_k-Xc_0000011 216.4 221.0 
Lesley_Manville/gb9nl-_k-Xc_0000012 227.0 231.8 
Lesley_Manville/gb9nl-_k-Xc_0000013 235.5 243.9 
Lesley_Manville/gb9nl-_k-Xc_0000014 245.7 255.3 
Lesley_Manville/gb9nl-_k-Xc_0000015 256.2 265.0 
Lesley_Manville/gb9nl-_k-Xc_0000016 318.4 325.6 
