POI: 			Lesley_Manville 
Youtube ID: 	Fy5YN2c7608 
Video length: 	437.8 sec 
Set (V): 		dev 
 
Lesley_Manville/Fy5YN2c7608_0000001 05.2 21.1 
Lesley_Manville/Fy5YN2c7608_0000002 25.7 39.6 
Lesley_Manville/Fy5YN2c7608_0000003 48.5 67.8 
Lesley_Manville/Fy5YN2c7608_0000004 70.0 93.8 
Lesley_Manville/Fy5YN2c7608_0000005 93.9 107.6 
Lesley_Manville/Fy5YN2c7608_0000006 108.9 113.8 
Lesley_Manville/Fy5YN2c7608_0000007 122.6 136.9 
Lesley_Manville/Fy5YN2c7608_0000008 141.9 161.7 
Lesley_Manville/Fy5YN2c7608_0000009 163.8 174.4 
Lesley_Manville/Fy5YN2c7608_0000010 175.5 184.9 
Lesley_Manville/Fy5YN2c7608_0000011 193.8 230.1 
Lesley_Manville/Fy5YN2c7608_0000012 234.8 242.8 
Lesley_Manville/Fy5YN2c7608_0000013 244.9 259.8 
Lesley_Manville/Fy5YN2c7608_0000014 252.8 259.6 
Lesley_Manville/Fy5YN2c7608_0000015 268.2 282.2 
Lesley_Manville/Fy5YN2c7608_0000016 295.9 304.6 
Lesley_Manville/Fy5YN2c7608_0000017 304.8 311.6 
Lesley_Manville/Fy5YN2c7608_0000018 311.7 324.1 
Lesley_Manville/Fy5YN2c7608_0000019 326.8 332.4 
Lesley_Manville/Fy5YN2c7608_0000020 332.6 348.7 
Lesley_Manville/Fy5YN2c7608_0000021 351.0 356.3 
Lesley_Manville/Fy5YN2c7608_0000022 366.4 374.7 
Lesley_Manville/Fy5YN2c7608_0000023 391.2 397.9 
Lesley_Manville/Fy5YN2c7608_0000024 398.0 405.7 
Lesley_Manville/Fy5YN2c7608_0000025 412.9 422.1 
Lesley_Manville/Fy5YN2c7608_0000026 423.1 427.5 
