POI: 			Naseeruddin_Shah 
Youtube ID: 	sVUfcg8XQzg 
Video length: 	2202.5 sec 
Set (V): 		dev 
 
Naseeruddin_Shah/sVUfcg8XQzg_0000001 149.4 153.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000002 156.1 165.7 
Naseeruddin_Shah/sVUfcg8XQzg_0000003 173.7 177.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000004 204.2 211.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000005 237.8 241.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000006 274.8 279.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000007 282.3 292.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000008 316.9 321.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000009 323.9 328.7 
Naseeruddin_Shah/sVUfcg8XQzg_0000010 340.0 352.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000011 398.5 402.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000012 405.9 409.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000013 415.7 420.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000014 431.4 436.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000015 451.3 455.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000016 460.9 469.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000017 469.7 475.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000018 490.0 495.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000019 502.1 510.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000020 527.9 532.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000021 544.2 550.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000022 544.4 550.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000023 621.4 627.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000024 632.8 653.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000025 669.6 680.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000026 681.2 687.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000027 691.1 696.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000028 701.1 707.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000029 734.9 743.9 
