POI: 			Naseeruddin_Shah 
Youtube ID: 	2iV9HT3E1Ls 
Video length: 	1209.1 sec 
Set (V): 		dev 
 
Naseeruddin_Shah/2iV9HT3E1Ls_0000001 67.3 72.8 
Naseeruddin_Shah/2iV9HT3E1Ls_0000002 117.1 125.5 
Naseeruddin_Shah/2iV9HT3E1Ls_0000003 191.2 195.3 
Naseeruddin_Shah/2iV9HT3E1Ls_0000004 270.9 275.7 
Naseeruddin_Shah/2iV9HT3E1Ls_0000005 311.4 323.7 
Naseeruddin_Shah/2iV9HT3E1Ls_0000006 576.6 584.4 
Naseeruddin_Shah/2iV9HT3E1Ls_0000007 606.9 615.2 
Naseeruddin_Shah/2iV9HT3E1Ls_0000008 630.8 635.8 
Naseeruddin_Shah/2iV9HT3E1Ls_0000009 703.7 708.7 
Naseeruddin_Shah/2iV9HT3E1Ls_0000010 713.7 719.5 
Naseeruddin_Shah/2iV9HT3E1Ls_0000011 846.7 852.0 
Naseeruddin_Shah/2iV9HT3E1Ls_0000012 879.8 884.2 
Naseeruddin_Shah/2iV9HT3E1Ls_0000013 891.1 896.0 
Naseeruddin_Shah/2iV9HT3E1Ls_0000014 908.6 913.3 
Naseeruddin_Shah/2iV9HT3E1Ls_0000015 922.3 926.9 
Naseeruddin_Shah/2iV9HT3E1Ls_0000016 935.6 942.2 
Naseeruddin_Shah/2iV9HT3E1Ls_0000017 943.0 947.9 
Naseeruddin_Shah/2iV9HT3E1Ls_0000018 949.8 954.1 
Naseeruddin_Shah/2iV9HT3E1Ls_0000019 982.2 987.0 
Naseeruddin_Shah/2iV9HT3E1Ls_0000020 1013.0 1019.6 
Naseeruddin_Shah/2iV9HT3E1Ls_0000021 1037.2 1041.6 
Naseeruddin_Shah/2iV9HT3E1Ls_0000022 1120.6 1127.3 
Naseeruddin_Shah/2iV9HT3E1Ls_0000023 1142.1 1146.1 
