POI: 			Audra_McDonald 
Youtube ID: 	K2QHfrmf56k 
Video length: 	1657.5 sec 
Set (V): 		dev 
 
Audra_McDonald/K2QHfrmf56k_0000001 77.2 93.1 
Audra_McDonald/K2QHfrmf56k_0000002 114.0 121.6 
Audra_McDonald/K2QHfrmf56k_0000003 123.1 136.3 
Audra_McDonald/K2QHfrmf56k_0000004 152.6 158.2 
Audra_McDonald/K2QHfrmf56k_0000005 163.0 176.9 
Audra_McDonald/K2QHfrmf56k_0000006 180.1 194.2 
Audra_McDonald/K2QHfrmf56k_0000007 208.0 215.6 
Audra_McDonald/K2QHfrmf56k_0000008 218.2 223.2 
Audra_McDonald/K2QHfrmf56k_0000009 226.2 231.8 
Audra_McDonald/K2QHfrmf56k_0000010 232.2 241.8 
Audra_McDonald/K2QHfrmf56k_0000011 276.2 296.1 
Audra_McDonald/K2QHfrmf56k_0000012 296.9 302.9 
Audra_McDonald/K2QHfrmf56k_0000013 309.4 315.4 
Audra_McDonald/K2QHfrmf56k_0000014 315.9 321.5 
Audra_McDonald/K2QHfrmf56k_0000015 322.5 331.5 
Audra_McDonald/K2QHfrmf56k_0000016 345.6 355.0 
Audra_McDonald/K2QHfrmf56k_0000017 359.6 366.3 
Audra_McDonald/K2QHfrmf56k_0000018 366.8 373.9 
Audra_McDonald/K2QHfrmf56k_0000019 379.5 385.9 
Audra_McDonald/K2QHfrmf56k_0000020 376.3 385.9 
Audra_McDonald/K2QHfrmf56k_0000021 394.5 401.7 
Audra_McDonald/K2QHfrmf56k_0000022 403.6 416.9 
Audra_McDonald/K2QHfrmf56k_0000023 419.5 427.9 
Audra_McDonald/K2QHfrmf56k_0000024 447.8 456.4 
Audra_McDonald/K2QHfrmf56k_0000025 456.8 461.5 
Audra_McDonald/K2QHfrmf56k_0000026 462.0 468.8 
Audra_McDonald/K2QHfrmf56k_0000027 471.8 481.9 
Audra_McDonald/K2QHfrmf56k_0000028 504.7 523.4 
Audra_McDonald/K2QHfrmf56k_0000029 525.6 534.5 
Audra_McDonald/K2QHfrmf56k_0000030 534.8 540.7 
Audra_McDonald/K2QHfrmf56k_0000031 588.1 599.8 
Audra_McDonald/K2QHfrmf56k_0000032 600.8 605.7 
Audra_McDonald/K2QHfrmf56k_0000033 641.3 646.4 
Audra_McDonald/K2QHfrmf56k_0000034 690.8 708.0 
Audra_McDonald/K2QHfrmf56k_0000035 720.7 724.7 
Audra_McDonald/K2QHfrmf56k_0000036 725.4 730.1 
Audra_McDonald/K2QHfrmf56k_0000037 758.6 768.9 
Audra_McDonald/K2QHfrmf56k_0000038 778.8 788.2 
Audra_McDonald/K2QHfrmf56k_0000039 789.3 793.9 
Audra_McDonald/K2QHfrmf56k_0000040 820.3 840.4 
Audra_McDonald/K2QHfrmf56k_0000041 849.0 857.2 
Audra_McDonald/K2QHfrmf56k_0000042 865.9 878.3 
Audra_McDonald/K2QHfrmf56k_0000043 899.2 907.3 
Audra_McDonald/K2QHfrmf56k_0000044 917.5 924.6 
Audra_McDonald/K2QHfrmf56k_0000045 928.5 937.4 
Audra_McDonald/K2QHfrmf56k_0000046 944.5 948.6 
Audra_McDonald/K2QHfrmf56k_0000047 952.8 957.8 
Audra_McDonald/K2QHfrmf56k_0000048 960.6 969.6 
Audra_McDonald/K2QHfrmf56k_0000049 973.0 986.3 
Audra_McDonald/K2QHfrmf56k_0000050 988.2 992.3 
Audra_McDonald/K2QHfrmf56k_0000051 996.8 1001.1 
Audra_McDonald/K2QHfrmf56k_0000052 1005.0 1012.9 
Audra_McDonald/K2QHfrmf56k_0000053 1013.1 1023.0 
Audra_McDonald/K2QHfrmf56k_0000054 1064.4 1072.1 
Audra_McDonald/K2QHfrmf56k_0000055 1077.6 1085.1 
Audra_McDonald/K2QHfrmf56k_0000056 1088.2 1092.5 
Audra_McDonald/K2QHfrmf56k_0000057 1093.4 1099.1 
Audra_McDonald/K2QHfrmf56k_0000058 1104.3 1109.9 
Audra_McDonald/K2QHfrmf56k_0000059 1128.7 1138.3 
Audra_McDonald/K2QHfrmf56k_0000060 1159.4 1174.8 
Audra_McDonald/K2QHfrmf56k_0000061 1175.8 1182.9 
Audra_McDonald/K2QHfrmf56k_0000062 1183.9 1192.1 
Audra_McDonald/K2QHfrmf56k_0000063 1292.9 1297.7 
Audra_McDonald/K2QHfrmf56k_0000064 1303.8 1320.8 
Audra_McDonald/K2QHfrmf56k_0000065 1335.5 1347.5 
Audra_McDonald/K2QHfrmf56k_0000066 1390.6 1394.7 
Audra_McDonald/K2QHfrmf56k_0000067 1395.9 1401.6 
Audra_McDonald/K2QHfrmf56k_0000068 1430.6 1437.9 
Audra_McDonald/K2QHfrmf56k_0000069 1454.2 1470.8 
Audra_McDonald/K2QHfrmf56k_0000070 1513.8 1527.4 
Audra_McDonald/K2QHfrmf56k_0000071 1527.7 1536.8 
Audra_McDonald/K2QHfrmf56k_0000072 1541.5 1546.9 
Audra_McDonald/K2QHfrmf56k_0000073 1548.0 1553.8 
