POI: 			Pierfrancesco_Favino 
Youtube ID: 	XIXGXN9zgoM 
Video length: 	489.2 sec 
Set (V): 		dev 
 
Pierfrancesco_Favino/XIXGXN9zgoM_0000001 29.6 34.3 
Pierfrancesco_Favino/XIXGXN9zgoM_0000002 35.6 44.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000003 44.1 53.1 
Pierfrancesco_Favino/XIXGXN9zgoM_0000004 101.3 107.1 
Pierfrancesco_Favino/XIXGXN9zgoM_0000005 108.2 113.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000006 114.2 120.6 
Pierfrancesco_Favino/XIXGXN9zgoM_0000007 139.5 144.6 
Pierfrancesco_Favino/XIXGXN9zgoM_0000008 175.4 179.9 
Pierfrancesco_Favino/XIXGXN9zgoM_0000009 181.4 187.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000010 187.2 195.3 
Pierfrancesco_Favino/XIXGXN9zgoM_0000011 210.5 218.3 
Pierfrancesco_Favino/XIXGXN9zgoM_0000012 260.6 267.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000013 268.4 274.6 
Pierfrancesco_Favino/XIXGXN9zgoM_0000014 283.8 293.1 
Pierfrancesco_Favino/XIXGXN9zgoM_0000015 366.8 373.6 
Pierfrancesco_Favino/XIXGXN9zgoM_0000016 382.4 390.2 
Pierfrancesco_Favino/XIXGXN9zgoM_0000017 414.1 419.5 
Pierfrancesco_Favino/XIXGXN9zgoM_0000018 425.6 431.5 
Pierfrancesco_Favino/XIXGXN9zgoM_0000019 442.9 447.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000020 459.6 465.0 
Pierfrancesco_Favino/XIXGXN9zgoM_0000021 472.3 479.5 
