POI: 			Pierfrancesco_Favino 
Youtube ID: 	2nf1qU4Kfsc 
Video length: 	446.4 sec 
Set (V): 		dev 
 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000001 13.9 19.8 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000002 21.4 27.2 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000003 28.6 38.0 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000004 47.0 59.2 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000005 61.3 74.0 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000006 75.0 80.3 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000007 91.1 95.1 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000008 110.8 119.0 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000009 142.0 147.4 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000010 159.0 164.8 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000011 165.3 173.9 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000012 174.0 182.4 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000013 208.4 214.1 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000014 227.3 232.2 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000015 243.6 252.6 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000016 254.9 259.5 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000017 271.0 276.3 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000018 294.5 298.6 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000019 304.9 314.3 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000020 341.0 349.0 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000021 341.2 350.3 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000022 366.6 373.2 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000023 374.2 383.4 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000024 386.7 391.8 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000025 392.8 398.7 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000026 399.8 403.8 
Pierfrancesco_Favino/2nf1qU4Kfsc_0000027 416.0 421.9 
