POI: 			Aneurin_Barnard 
Youtube ID: 	EEcEWXEXJWY 
Video length: 	602.6 sec 
Set (V): 		dev 
 
Aneurin_Barnard/EEcEWXEXJWY_0000001 61.8 66.0 
Aneurin_Barnard/EEcEWXEXJWY_0000002 68.6 73.0 
Aneurin_Barnard/EEcEWXEXJWY_0000003 75.1 79.7 
Aneurin_Barnard/EEcEWXEXJWY_0000004 103.0 110.9 
Aneurin_Barnard/EEcEWXEXJWY_0000005 111.3 123.6 
Aneurin_Barnard/EEcEWXEXJWY_0000006 125.0 130.4 
Aneurin_Barnard/EEcEWXEXJWY_0000007 182.6 187.4 
Aneurin_Barnard/EEcEWXEXJWY_0000008 187.9 193.1 
Aneurin_Barnard/EEcEWXEXJWY_0000009 239.4 244.9 
Aneurin_Barnard/EEcEWXEXJWY_0000010 250.5 262.8 
Aneurin_Barnard/EEcEWXEXJWY_0000011 316.4 322.4 
Aneurin_Barnard/EEcEWXEXJWY_0000012 325.9 332.2 
Aneurin_Barnard/EEcEWXEXJWY_0000013 418.2 422.4 
Aneurin_Barnard/EEcEWXEXJWY_0000014 422.8 429.9 
Aneurin_Barnard/EEcEWXEXJWY_0000015 435.0 439.1 
Aneurin_Barnard/EEcEWXEXJWY_0000016 516.8 520.8 
Aneurin_Barnard/EEcEWXEXJWY_0000017 521.6 527.9 
Aneurin_Barnard/EEcEWXEXJWY_0000018 589.4 595.2 
