POI: 			Candice_Patton 
Youtube ID: 	eL9vit9ZOmE 
Video length: 	421.5 sec 
Set (V): 		dev 
 
Candice_Patton/eL9vit9ZOmE_0000001 00.8 05.3 
Candice_Patton/eL9vit9ZOmE_0000002 32.3 40.1 
Candice_Patton/eL9vit9ZOmE_0000003 40.2 56.4 
Candice_Patton/eL9vit9ZOmE_0000004 85.7 91.4 
Candice_Patton/eL9vit9ZOmE_0000005 97.5 103.0 
Candice_Patton/eL9vit9ZOmE_0000006 141.2 145.8 
Candice_Patton/eL9vit9ZOmE_0000007 153.0 162.0 
Candice_Patton/eL9vit9ZOmE_0000008 163.2 167.4 
Candice_Patton/eL9vit9ZOmE_0000009 168.6 175.8 
Candice_Patton/eL9vit9ZOmE_0000010 180.4 193.6 
Candice_Patton/eL9vit9ZOmE_0000011 211.4 225.7 
Candice_Patton/eL9vit9ZOmE_0000012 274.4 281.1 
Candice_Patton/eL9vit9ZOmE_0000013 287.2 292.2 
Candice_Patton/eL9vit9ZOmE_0000014 325.5 333.3 
Candice_Patton/eL9vit9ZOmE_0000015 341.1 363.7 
Candice_Patton/eL9vit9ZOmE_0000016 384.7 392.0 
Candice_Patton/eL9vit9ZOmE_0000017 403.3 410.9 
