POI: 			Candice_Patton 
Youtube ID: 	K0ZFbs3I5Ro 
Video length: 	942.2 sec 
Set (V): 		dev 
 
Candice_Patton/K0ZFbs3I5Ro_0000001 18.9 30.2 
Candice_Patton/K0ZFbs3I5Ro_0000002 31.2 38.3 
Candice_Patton/K0ZFbs3I5Ro_0000003 28.0 38.3 
Candice_Patton/K0ZFbs3I5Ro_0000004 49.7 53.6 
Candice_Patton/K0ZFbs3I5Ro_0000005 63.6 71.0 
Candice_Patton/K0ZFbs3I5Ro_0000006 81.9 88.7 
Candice_Patton/K0ZFbs3I5Ro_0000007 95.2 107.2 
Candice_Patton/K0ZFbs3I5Ro_0000008 112.5 116.6 
Candice_Patton/K0ZFbs3I5Ro_0000009 119.2 124.4 
Candice_Patton/K0ZFbs3I5Ro_0000010 155.6 176.0 
Candice_Patton/K0ZFbs3I5Ro_0000011 180.7 187.7 
Candice_Patton/K0ZFbs3I5Ro_0000012 192.6 197.3 
Candice_Patton/K0ZFbs3I5Ro_0000013 198.0 207.4 
Candice_Patton/K0ZFbs3I5Ro_0000014 204.2 208.3 
Candice_Patton/K0ZFbs3I5Ro_0000015 226.0 231.4 
Candice_Patton/K0ZFbs3I5Ro_0000016 231.4 235.7 
Candice_Patton/K0ZFbs3I5Ro_0000017 246.3 255.1 
Candice_Patton/K0ZFbs3I5Ro_0000018 267.2 279.0 
Candice_Patton/K0ZFbs3I5Ro_0000019 297.5 305.1 
Candice_Patton/K0ZFbs3I5Ro_0000020 307.2 312.3 
Candice_Patton/K0ZFbs3I5Ro_0000021 313.2 330.6 
Candice_Patton/K0ZFbs3I5Ro_0000022 332.6 336.6 
Candice_Patton/K0ZFbs3I5Ro_0000023 345.0 359.0 
Candice_Patton/K0ZFbs3I5Ro_0000024 407.6 412.6 
Candice_Patton/K0ZFbs3I5Ro_0000025 418.7 425.3 
Candice_Patton/K0ZFbs3I5Ro_0000026 430.8 435.9 
Candice_Patton/K0ZFbs3I5Ro_0000027 444.0 449.6 
Candice_Patton/K0ZFbs3I5Ro_0000028 464.8 494.4 
Candice_Patton/K0ZFbs3I5Ro_0000029 502.6 507.2 
Candice_Patton/K0ZFbs3I5Ro_0000030 521.0 526.6 
Candice_Patton/K0ZFbs3I5Ro_0000031 550.1 557.9 
Candice_Patton/K0ZFbs3I5Ro_0000032 588.1 592.5 
Candice_Patton/K0ZFbs3I5Ro_0000033 593.3 598.0 
Candice_Patton/K0ZFbs3I5Ro_0000034 598.6 603.7 
Candice_Patton/K0ZFbs3I5Ro_0000035 632.2 645.6 
Candice_Patton/K0ZFbs3I5Ro_0000036 652.0 660.5 
Candice_Patton/K0ZFbs3I5Ro_0000037 660.9 667.2 
Candice_Patton/K0ZFbs3I5Ro_0000038 670.7 675.4 
Candice_Patton/K0ZFbs3I5Ro_0000039 686.0 693.3 
Candice_Patton/K0ZFbs3I5Ro_0000040 694.4 700.0 
Candice_Patton/K0ZFbs3I5Ro_0000041 700.5 704.6 
Candice_Patton/K0ZFbs3I5Ro_0000042 694.4 700.0 
Candice_Patton/K0ZFbs3I5Ro_0000043 736.1 744.9 
Candice_Patton/K0ZFbs3I5Ro_0000044 755.6 765.5 
Candice_Patton/K0ZFbs3I5Ro_0000045 790.0 806.2 
Candice_Patton/K0ZFbs3I5Ro_0000046 809.1 818.2 
Candice_Patton/K0ZFbs3I5Ro_0000047 820.7 828.0 
Candice_Patton/K0ZFbs3I5Ro_0000048 829.0 841.9 
Candice_Patton/K0ZFbs3I5Ro_0000049 855.5 860.7 
Candice_Patton/K0ZFbs3I5Ro_0000050 888.2 918.1 
Candice_Patton/K0ZFbs3I5Ro_0000051 925.0 935.2 
