POI: 			Emraan_Hashmi 
Youtube ID: 	2qlrpSAc9Xs 
Video length: 	1240.3 sec 
Set (V): 		test 
 
Emraan_Hashmi/2qlrpSAc9Xs_0000001 133.6 139.4 
Emraan_Hashmi/2qlrpSAc9Xs_0000002 145.3 151.0 
Emraan_Hashmi/2qlrpSAc9Xs_0000003 270.6 277.7 
Emraan_Hashmi/2qlrpSAc9Xs_0000004 378.3 383.4 
Emraan_Hashmi/2qlrpSAc9Xs_0000005 427.2 431.6 
Emraan_Hashmi/2qlrpSAc9Xs_0000006 438.4 446.2 
Emraan_Hashmi/2qlrpSAc9Xs_0000007 447.6 455.7 
Emraan_Hashmi/2qlrpSAc9Xs_0000008 505.3 509.4 
Emraan_Hashmi/2qlrpSAc9Xs_0000009 648.4 653.9 
Emraan_Hashmi/2qlrpSAc9Xs_0000010 724.8 731.2 
Emraan_Hashmi/2qlrpSAc9Xs_0000011 753.1 758.0 
Emraan_Hashmi/2qlrpSAc9Xs_0000012 786.0 790.2 
Emraan_Hashmi/2qlrpSAc9Xs_0000013 798.6 802.6 
Emraan_Hashmi/2qlrpSAc9Xs_0000014 808.6 816.6 
Emraan_Hashmi/2qlrpSAc9Xs_0000015 885.2 889.2 
Emraan_Hashmi/2qlrpSAc9Xs_0000016 925.0 929.3 
Emraan_Hashmi/2qlrpSAc9Xs_0000017 945.6 955.0 
Emraan_Hashmi/2qlrpSAc9Xs_0000018 981.0 986.6 
Emraan_Hashmi/2qlrpSAc9Xs_0000019 1040.6 1047.5 
Emraan_Hashmi/2qlrpSAc9Xs_0000020 1047.9 1055.2 
Emraan_Hashmi/2qlrpSAc9Xs_0000021 1084.4 1088.9 
Emraan_Hashmi/2qlrpSAc9Xs_0000022 1102.4 1106.9 
Emraan_Hashmi/2qlrpSAc9Xs_0000023 1139.6 1144.0 
