POI: 			Emraan_Hashmi 
Youtube ID: 	ya6VNZp-pXw 
Video length: 	850.1 sec 
Set (V): 		test 
 
Emraan_Hashmi/ya6VNZp-pXw_0000001 17.2 21.5 
Emraan_Hashmi/ya6VNZp-pXw_0000002 39.4 43.5 
Emraan_Hashmi/ya6VNZp-pXw_0000003 43.7 51.0 
Emraan_Hashmi/ya6VNZp-pXw_0000004 65.1 69.2 
Emraan_Hashmi/ya6VNZp-pXw_0000005 80.0 86.8 
Emraan_Hashmi/ya6VNZp-pXw_0000006 122.2 126.8 
Emraan_Hashmi/ya6VNZp-pXw_0000007 132.5 136.8 
Emraan_Hashmi/ya6VNZp-pXw_0000008 141.0 145.9 
Emraan_Hashmi/ya6VNZp-pXw_0000009 167.0 171.9 
Emraan_Hashmi/ya6VNZp-pXw_0000010 199.4 204.1 
Emraan_Hashmi/ya6VNZp-pXw_0000011 204.7 209.0 
Emraan_Hashmi/ya6VNZp-pXw_0000012 214.0 220.1 
Emraan_Hashmi/ya6VNZp-pXw_0000013 222.4 226.5 
Emraan_Hashmi/ya6VNZp-pXw_0000014 249.2 253.2 
Emraan_Hashmi/ya6VNZp-pXw_0000015 274.8 283.5 
Emraan_Hashmi/ya6VNZp-pXw_0000016 284.0 293.1 
Emraan_Hashmi/ya6VNZp-pXw_0000017 314.8 319.3 
Emraan_Hashmi/ya6VNZp-pXw_0000018 324.3 331.7 
Emraan_Hashmi/ya6VNZp-pXw_0000019 335.0 339.0 
Emraan_Hashmi/ya6VNZp-pXw_0000020 373.5 378.1 
Emraan_Hashmi/ya6VNZp-pXw_0000021 386.2 391.5 
Emraan_Hashmi/ya6VNZp-pXw_0000022 411.7 416.0 
Emraan_Hashmi/ya6VNZp-pXw_0000023 419.8 426.4 
Emraan_Hashmi/ya6VNZp-pXw_0000024 447.2 451.8 
Emraan_Hashmi/ya6VNZp-pXw_0000025 452.0 459.4 
Emraan_Hashmi/ya6VNZp-pXw_0000026 493.0 499.9 
Emraan_Hashmi/ya6VNZp-pXw_0000027 503.2 509.4 
Emraan_Hashmi/ya6VNZp-pXw_0000028 523.0 528.7 
Emraan_Hashmi/ya6VNZp-pXw_0000029 533.2 537.2 
Emraan_Hashmi/ya6VNZp-pXw_0000030 567.7 572.1 
Emraan_Hashmi/ya6VNZp-pXw_0000031 596.2 602.8 
Emraan_Hashmi/ya6VNZp-pXw_0000032 631.2 643.2 
Emraan_Hashmi/ya6VNZp-pXw_0000033 677.2 683.0 
Emraan_Hashmi/ya6VNZp-pXw_0000034 735.4 743.4 
Emraan_Hashmi/ya6VNZp-pXw_0000035 775.4 794.9 
Emraan_Hashmi/ya6VNZp-pXw_0000036 826.8 831.2 
Emraan_Hashmi/ya6VNZp-pXw_0000037 831.6 837.7 
