POI: 			Emraan_Hashmi 
Youtube ID: 	57KbI2UvGss 
Video length: 	851.6 sec 
Set (V): 		test 
 
Emraan_Hashmi/57KbI2UvGss_0000001 209.6 215.3 
Emraan_Hashmi/57KbI2UvGss_0000002 222.1 230.3 
Emraan_Hashmi/57KbI2UvGss_0000003 245.6 250.2 
Emraan_Hashmi/57KbI2UvGss_0000004 265.8 270.5 
Emraan_Hashmi/57KbI2UvGss_0000005 307.4 313.3 
Emraan_Hashmi/57KbI2UvGss_0000006 362.5 366.5 
Emraan_Hashmi/57KbI2UvGss_0000007 377.5 383.8 
Emraan_Hashmi/57KbI2UvGss_0000008 414.6 422.0 
Emraan_Hashmi/57KbI2UvGss_0000009 467.5 473.1 
Emraan_Hashmi/57KbI2UvGss_0000010 482.3 486.7 
Emraan_Hashmi/57KbI2UvGss_0000011 492.4 497.7 
Emraan_Hashmi/57KbI2UvGss_0000012 507.9 513.9 
Emraan_Hashmi/57KbI2UvGss_0000013 521.2 532.4 
Emraan_Hashmi/57KbI2UvGss_0000014 559.5 564.0 
Emraan_Hashmi/57KbI2UvGss_0000015 587.7 593.2 
Emraan_Hashmi/57KbI2UvGss_0000016 598.2 606.4 
Emraan_Hashmi/57KbI2UvGss_0000017 635.3 640.2 
Emraan_Hashmi/57KbI2UvGss_0000018 655.0 659.6 
Emraan_Hashmi/57KbI2UvGss_0000019 698.4 705.3 
Emraan_Hashmi/57KbI2UvGss_0000020 777.8 782.2 
Emraan_Hashmi/57KbI2UvGss_0000021 792.0 800.4 
