POI: 			Emraan_Hashmi 
Youtube ID: 	gm6PJowclv0 
Video length: 	959.9 sec 
Set (V): 		test 
 
Emraan_Hashmi/gm6PJowclv0_0000001 13.2 17.6 
Emraan_Hashmi/gm6PJowclv0_0000002 45.8 51.4 
Emraan_Hashmi/gm6PJowclv0_0000003 91.4 97.4 
Emraan_Hashmi/gm6PJowclv0_0000004 101.5 109.8 
Emraan_Hashmi/gm6PJowclv0_0000005 110.7 115.0 
Emraan_Hashmi/gm6PJowclv0_0000006 135.3 140.4 
Emraan_Hashmi/gm6PJowclv0_0000007 152.7 157.2 
Emraan_Hashmi/gm6PJowclv0_0000008 182.4 188.8 
Emraan_Hashmi/gm6PJowclv0_0000009 190.1 201.4 
Emraan_Hashmi/gm6PJowclv0_0000010 214.0 223.4 
Emraan_Hashmi/gm6PJowclv0_0000011 224.0 228.8 
Emraan_Hashmi/gm6PJowclv0_0000012 294.1 298.6 
Emraan_Hashmi/gm6PJowclv0_0000013 438.9 442.9 
Emraan_Hashmi/gm6PJowclv0_0000014 447.9 453.6 
Emraan_Hashmi/gm6PJowclv0_0000015 484.9 490.2 
Emraan_Hashmi/gm6PJowclv0_0000016 499.2 504.4 
Emraan_Hashmi/gm6PJowclv0_0000017 512.5 523.2 
Emraan_Hashmi/gm6PJowclv0_0000018 530.3 537.0 
Emraan_Hashmi/gm6PJowclv0_0000019 562.4 567.2 
Emraan_Hashmi/gm6PJowclv0_0000020 586.9 593.2 
Emraan_Hashmi/gm6PJowclv0_0000021 595.6 601.4 
Emraan_Hashmi/gm6PJowclv0_0000022 613.1 620.4 
Emraan_Hashmi/gm6PJowclv0_0000023 671.7 675.7 
Emraan_Hashmi/gm6PJowclv0_0000024 681.1 687.5 
Emraan_Hashmi/gm6PJowclv0_0000025 700.8 706.3 
Emraan_Hashmi/gm6PJowclv0_0000026 734.6 738.6 
Emraan_Hashmi/gm6PJowclv0_0000027 748.8 763.7 
