POI: 			Emraan_Hashmi 
Youtube ID: 	3kzw8lTcUBU 
Video length: 	1403.4 sec 
Set (V): 		test 
 
Emraan_Hashmi/3kzw8lTcUBU_0000001 135.2 144.2 
Emraan_Hashmi/3kzw8lTcUBU_0000002 151.1 159.2 
Emraan_Hashmi/3kzw8lTcUBU_0000003 260.7 270.5 
Emraan_Hashmi/3kzw8lTcUBU_0000004 274.4 285.7 
Emraan_Hashmi/3kzw8lTcUBU_0000005 291.0 295.8 
Emraan_Hashmi/3kzw8lTcUBU_0000006 318.2 322.9 
Emraan_Hashmi/3kzw8lTcUBU_0000007 328.3 334.9 
Emraan_Hashmi/3kzw8lTcUBU_0000008 414.1 422.2 
Emraan_Hashmi/3kzw8lTcUBU_0000009 426.0 432.2 
Emraan_Hashmi/3kzw8lTcUBU_0000010 444.2 454.2 
Emraan_Hashmi/3kzw8lTcUBU_0000011 557.2 563.1 
Emraan_Hashmi/3kzw8lTcUBU_0000012 566.0 575.1 
Emraan_Hashmi/3kzw8lTcUBU_0000013 587.4 591.6 
Emraan_Hashmi/3kzw8lTcUBU_0000014 603.3 607.7 
Emraan_Hashmi/3kzw8lTcUBU_0000015 624.0 628.4 
Emraan_Hashmi/3kzw8lTcUBU_0000016 639.4 645.0 
Emraan_Hashmi/3kzw8lTcUBU_0000017 647.1 651.2 
Emraan_Hashmi/3kzw8lTcUBU_0000018 969.4 974.1 
Emraan_Hashmi/3kzw8lTcUBU_0000019 977.5 989.1 
Emraan_Hashmi/3kzw8lTcUBU_0000020 992.3 1000.9 
Emraan_Hashmi/3kzw8lTcUBU_0000021 1004.3 1009.9 
Emraan_Hashmi/3kzw8lTcUBU_0000022 1011.2 1017.6 
Emraan_Hashmi/3kzw8lTcUBU_0000023 1020.9 1024.9 
Emraan_Hashmi/3kzw8lTcUBU_0000024 1245.2 1254.8 
Emraan_Hashmi/3kzw8lTcUBU_0000025 1258.6 1262.6 
Emraan_Hashmi/3kzw8lTcUBU_0000026 1267.2 1273.3 
Emraan_Hashmi/3kzw8lTcUBU_0000027 1277.0 1288.4 
Emraan_Hashmi/3kzw8lTcUBU_0000028 1294.4 1302.4 
Emraan_Hashmi/3kzw8lTcUBU_0000029 1307.4 1315.4 
