POI: 			Julia_Louis-Dreyfus 
Youtube ID: 	0lQ2j2C05PI 
Video length: 	710.4 sec 
Set (V): 		dev 
 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000001 81.3 90.5 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000002 128.8 142.7 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000003 173.5 177.9 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000004 240.4 246.8 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000005 254.9 260.6 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000006 286.8 305.0 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000007 306.4 312.4 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000008 333.0 346.9 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000009 348.7 359.4 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000010 362.5 369.4 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000011 505.8 509.8 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000012 582.7 594.0 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000013 614.0 625.4 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000014 627.3 633.8 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000015 648.2 656.6 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000016 675.3 680.4 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000017 682.9 688.8 
Julia_Louis-Dreyfus/0lQ2j2C05PI_0000018 690.2 694.7 
