POI: 			Diogo_Morgado 
Youtube ID: 	u4XqUv8h92M 
Video length: 	303.7 sec 
Set (V): 		dev 
 
Diogo_Morgado/u4XqUv8h92M_0000001 01.2 29.4 
Diogo_Morgado/u4XqUv8h92M_0000002 35.4 42.4 
Diogo_Morgado/u4XqUv8h92M_0000003 46.7 61.6 
Diogo_Morgado/u4XqUv8h92M_0000004 66.0 75.2 
Diogo_Morgado/u4XqUv8h92M_0000005 76.9 89.8 
Diogo_Morgado/u4XqUv8h92M_0000006 90.1 95.5 
Diogo_Morgado/u4XqUv8h92M_0000007 96.7 107.8 
Diogo_Morgado/u4XqUv8h92M_0000008 108.2 118.7 
Diogo_Morgado/u4XqUv8h92M_0000009 121.1 128.0 
Diogo_Morgado/u4XqUv8h92M_0000010 138.0 145.2 
Diogo_Morgado/u4XqUv8h92M_0000011 158.7 163.4 
Diogo_Morgado/u4XqUv8h92M_0000012 174.9 184.4 
Diogo_Morgado/u4XqUv8h92M_0000013 190.0 197.3 
Diogo_Morgado/u4XqUv8h92M_0000014 198.1 213.3 
Diogo_Morgado/u4XqUv8h92M_0000015 220.3 226.9 
Diogo_Morgado/u4XqUv8h92M_0000016 233.8 242.4 
Diogo_Morgado/u4XqUv8h92M_0000017 247.0 253.4 
Diogo_Morgado/u4XqUv8h92M_0000018 266.3 271.0 
Diogo_Morgado/u4XqUv8h92M_0000019 271.6 276.9 
Diogo_Morgado/u4XqUv8h92M_0000020 277.0 301.3 
