POI: 			Diogo_Morgado 
Youtube ID: 	0a-GyTjKStI 
Video length: 	535.5 sec 
Set (V): 		dev 
 
Diogo_Morgado/0a-GyTjKStI_0000001 11.7 20.6 
Diogo_Morgado/0a-GyTjKStI_0000002 24.0 45.3 
Diogo_Morgado/0a-GyTjKStI_0000003 57.4 70.7 
Diogo_Morgado/0a-GyTjKStI_0000004 72.0 80.1 
Diogo_Morgado/0a-GyTjKStI_0000005 80.3 88.1 
Diogo_Morgado/0a-GyTjKStI_0000006 89.0 95.1 
Diogo_Morgado/0a-GyTjKStI_0000007 116.9 146.9 
Diogo_Morgado/0a-GyTjKStI_0000008 154.8 179.2 
Diogo_Morgado/0a-GyTjKStI_0000009 183.4 190.6 
Diogo_Morgado/0a-GyTjKStI_0000010 209.1 216.6 
Diogo_Morgado/0a-GyTjKStI_0000011 221.9 226.6 
Diogo_Morgado/0a-GyTjKStI_0000012 231.3 242.0 
Diogo_Morgado/0a-GyTjKStI_0000013 258.4 266.2 
Diogo_Morgado/0a-GyTjKStI_0000014 269.5 278.4 
Diogo_Morgado/0a-GyTjKStI_0000015 282.6 287.2 
Diogo_Morgado/0a-GyTjKStI_0000016 287.3 295.1 
Diogo_Morgado/0a-GyTjKStI_0000017 305.4 326.4 
Diogo_Morgado/0a-GyTjKStI_0000018 330.2 337.4 
Diogo_Morgado/0a-GyTjKStI_0000019 344.2 351.4 
Diogo_Morgado/0a-GyTjKStI_0000020 360.6 364.9 
Diogo_Morgado/0a-GyTjKStI_0000021 365.8 379.4 
Diogo_Morgado/0a-GyTjKStI_0000022 381.2 391.1 
Diogo_Morgado/0a-GyTjKStI_0000023 391.6 397.8 
Diogo_Morgado/0a-GyTjKStI_0000024 425.6 432.6 
Diogo_Morgado/0a-GyTjKStI_0000025 434.1 440.6 
Diogo_Morgado/0a-GyTjKStI_0000026 449.0 453.3 
Diogo_Morgado/0a-GyTjKStI_0000027 457.2 465.6 
Diogo_Morgado/0a-GyTjKStI_0000028 469.3 485.6 
Diogo_Morgado/0a-GyTjKStI_0000029 486.9 495.8 
Diogo_Morgado/0a-GyTjKStI_0000030 516.1 522.9 
