POI: 			Alexander_Siddig 
Youtube ID: 	Aagq0-3vEi4 
Video length: 	626.1 sec 
Set (V): 		dev 
 
Alexander_Siddig/Aagq0-3vEi4_0000001 14.6 19.1 
Alexander_Siddig/Aagq0-3vEi4_0000002 24.2 28.2 
Alexander_Siddig/Aagq0-3vEi4_0000003 29.0 33.4 
Alexander_Siddig/Aagq0-3vEi4_0000004 36.6 42.6 
Alexander_Siddig/Aagq0-3vEi4_0000005 43.1 48.0 
Alexander_Siddig/Aagq0-3vEi4_0000006 55.4 59.4 
Alexander_Siddig/Aagq0-3vEi4_0000007 92.2 106.9 
Alexander_Siddig/Aagq0-3vEi4_0000008 150.0 167.3 
Alexander_Siddig/Aagq0-3vEi4_0000009 171.7 176.5 
Alexander_Siddig/Aagq0-3vEi4_0000010 149.9 171.2 
Alexander_Siddig/Aagq0-3vEi4_0000011 178.4 184.2 
Alexander_Siddig/Aagq0-3vEi4_0000012 185.2 204.2 
Alexander_Siddig/Aagq0-3vEi4_0000013 207.5 216.2 
Alexander_Siddig/Aagq0-3vEi4_0000014 220.4 229.9 
Alexander_Siddig/Aagq0-3vEi4_0000015 258.7 262.8 
Alexander_Siddig/Aagq0-3vEi4_0000016 263.1 269.3 
Alexander_Siddig/Aagq0-3vEi4_0000017 269.5 285.3 
Alexander_Siddig/Aagq0-3vEi4_0000018 285.4 290.9 
Alexander_Siddig/Aagq0-3vEi4_0000019 291.0 299.4 
Alexander_Siddig/Aagq0-3vEi4_0000020 301.4 312.2 
Alexander_Siddig/Aagq0-3vEi4_0000021 314.1 322.6 
Alexander_Siddig/Aagq0-3vEi4_0000022 330.3 336.2 
Alexander_Siddig/Aagq0-3vEi4_0000023 336.5 341.6 
Alexander_Siddig/Aagq0-3vEi4_0000024 373.5 383.9 
Alexander_Siddig/Aagq0-3vEi4_0000025 386.3 397.9 
Alexander_Siddig/Aagq0-3vEi4_0000026 398.9 429.2 
Alexander_Siddig/Aagq0-3vEi4_0000027 440.8 447.3 
Alexander_Siddig/Aagq0-3vEi4_0000028 460.8 469.1 
Alexander_Siddig/Aagq0-3vEi4_0000029 471.5 476.8 
Alexander_Siddig/Aagq0-3vEi4_0000030 480.9 485.2 
Alexander_Siddig/Aagq0-3vEi4_0000031 474.4 479.7 
Alexander_Siddig/Aagq0-3vEi4_0000032 503.3 512.1 
Alexander_Siddig/Aagq0-3vEi4_0000033 513.3 518.2 
Alexander_Siddig/Aagq0-3vEi4_0000034 520.3 525.4 
Alexander_Siddig/Aagq0-3vEi4_0000035 544.4 556.3 
Alexander_Siddig/Aagq0-3vEi4_0000036 557.3 563.0 
Alexander_Siddig/Aagq0-3vEi4_0000037 580.1 584.9 
Alexander_Siddig/Aagq0-3vEi4_0000038 585.6 594.7 
Alexander_Siddig/Aagq0-3vEi4_0000039 597.0 601.2 
Alexander_Siddig/Aagq0-3vEi4_0000040 601.6 615.9 
