POI: 			Alexander_Siddig 
Youtube ID: 	Ux_qXMoS0wA 
Video length: 	473.5 sec 
Set (V): 		dev 
 
Alexander_Siddig/Ux_qXMoS0wA_0000001 23.7 28.5 
Alexander_Siddig/Ux_qXMoS0wA_0000002 39.8 46.2 
Alexander_Siddig/Ux_qXMoS0wA_0000003 51.0 58.3 
Alexander_Siddig/Ux_qXMoS0wA_0000004 60.3 72.5 
Alexander_Siddig/Ux_qXMoS0wA_0000005 78.3 95.1 
Alexander_Siddig/Ux_qXMoS0wA_0000006 95.5 101.8 
Alexander_Siddig/Ux_qXMoS0wA_0000007 103.8 110.6 
Alexander_Siddig/Ux_qXMoS0wA_0000008 130.7 139.1 
Alexander_Siddig/Ux_qXMoS0wA_0000009 151.0 163.8 
Alexander_Siddig/Ux_qXMoS0wA_0000010 185.6 190.7 
Alexander_Siddig/Ux_qXMoS0wA_0000011 224.5 238.0 
Alexander_Siddig/Ux_qXMoS0wA_0000012 236.1 254.2 
Alexander_Siddig/Ux_qXMoS0wA_0000013 258.7 263.1 
Alexander_Siddig/Ux_qXMoS0wA_0000014 281.8 292.4 
Alexander_Siddig/Ux_qXMoS0wA_0000015 292.7 298.6 
Alexander_Siddig/Ux_qXMoS0wA_0000016 303.6 308.9 
Alexander_Siddig/Ux_qXMoS0wA_0000017 333.7 341.6 
Alexander_Siddig/Ux_qXMoS0wA_0000018 342.5 347.9 
Alexander_Siddig/Ux_qXMoS0wA_0000019 349.0 354.8 
Alexander_Siddig/Ux_qXMoS0wA_0000020 355.9 360.6 
Alexander_Siddig/Ux_qXMoS0wA_0000021 362.9 370.0 
Alexander_Siddig/Ux_qXMoS0wA_0000022 372.8 383.5 
Alexander_Siddig/Ux_qXMoS0wA_0000023 396.6 401.1 
Alexander_Siddig/Ux_qXMoS0wA_0000024 404.8 411.4 
Alexander_Siddig/Ux_qXMoS0wA_0000025 412.4 417.6 
Alexander_Siddig/Ux_qXMoS0wA_0000026 416.2 421.4 
Alexander_Siddig/Ux_qXMoS0wA_0000027 442.8 449.3 
Alexander_Siddig/Ux_qXMoS0wA_0000028 455.2 461.4 
