POI: 			Alexander_Siddig 
Youtube ID: 	Frufp3jHjbE 
Video length: 	626.1 sec 
Set (V): 		dev 
 
Alexander_Siddig/Frufp3jHjbE_0000001 14.6 19.7 
Alexander_Siddig/Frufp3jHjbE_0000002 24.2 28.3 
Alexander_Siddig/Frufp3jHjbE_0000003 29.0 35.4 
Alexander_Siddig/Frufp3jHjbE_0000004 36.4 47.9 
Alexander_Siddig/Frufp3jHjbE_0000005 89.1 106.8 
Alexander_Siddig/Frufp3jHjbE_0000006 150.0 176.7 
Alexander_Siddig/Frufp3jHjbE_0000007 150.0 159.1 
Alexander_Siddig/Frufp3jHjbE_0000008 185.2 202.9 
Alexander_Siddig/Frufp3jHjbE_0000009 207.6 216.0 
Alexander_Siddig/Frufp3jHjbE_0000010 222.0 228.2 
Alexander_Siddig/Frufp3jHjbE_0000011 258.7 262.9 
Alexander_Siddig/Frufp3jHjbE_0000012 263.0 268.1 
Alexander_Siddig/Frufp3jHjbE_0000013 270.0 285.3 
Alexander_Siddig/Frufp3jHjbE_0000014 291.1 300.4 
Alexander_Siddig/Frufp3jHjbE_0000015 301.4 312.0 
Alexander_Siddig/Frufp3jHjbE_0000016 331.8 336.2 
Alexander_Siddig/Frufp3jHjbE_0000017 336.5 341.6 
Alexander_Siddig/Frufp3jHjbE_0000018 374.1 383.6 
Alexander_Siddig/Frufp3jHjbE_0000019 390.0 397.8 
Alexander_Siddig/Frufp3jHjbE_0000020 399.3 429.0 
Alexander_Siddig/Frufp3jHjbE_0000021 440.8 447.3 
Alexander_Siddig/Frufp3jHjbE_0000022 460.8 469.2 
Alexander_Siddig/Frufp3jHjbE_0000023 471.7 480.0 
Alexander_Siddig/Frufp3jHjbE_0000024 504.1 512.2 
Alexander_Siddig/Frufp3jHjbE_0000025 513.5 522.0 
Alexander_Siddig/Frufp3jHjbE_0000026 544.4 556.2 
Alexander_Siddig/Frufp3jHjbE_0000027 576.5 582.6 
Alexander_Siddig/Frufp3jHjbE_0000028 585.6 592.4 
Alexander_Siddig/Frufp3jHjbE_0000029 597.1 601.2 
Alexander_Siddig/Frufp3jHjbE_0000030 601.9 606.2 
Alexander_Siddig/Frufp3jHjbE_0000031 606.6 616.0 
