POI: 			Jack_Lemmon 
Youtube ID: 	TcmgQSo6iGE 
Video length: 	3092.8 sec 
Set (V): 		dev 
 
Jack_Lemmon/TcmgQSo6iGE_0000001 58.7 65.0 
Jack_Lemmon/TcmgQSo6iGE_0000002 65.5 72.9 
Jack_Lemmon/TcmgQSo6iGE_0000003 109.2 117.0 
Jack_Lemmon/TcmgQSo6iGE_0000004 180.6 188.0 
Jack_Lemmon/TcmgQSo6iGE_0000005 241.0 247.3 
Jack_Lemmon/TcmgQSo6iGE_0000006 247.8 269.1 
Jack_Lemmon/TcmgQSo6iGE_0000007 286.5 291.1 
Jack_Lemmon/TcmgQSo6iGE_0000008 425.8 432.8 
Jack_Lemmon/TcmgQSo6iGE_0000009 451.1 458.4 
Jack_Lemmon/TcmgQSo6iGE_0000010 647.2 653.8 
Jack_Lemmon/TcmgQSo6iGE_0000011 655.6 661.5 
Jack_Lemmon/TcmgQSo6iGE_0000012 732.9 760.9 
Jack_Lemmon/TcmgQSo6iGE_0000013 762.3 766.4 
Jack_Lemmon/TcmgQSo6iGE_0000014 768.4 779.8 
Jack_Lemmon/TcmgQSo6iGE_0000015 832.3 839.4 
Jack_Lemmon/TcmgQSo6iGE_0000016 841.9 846.4 
Jack_Lemmon/TcmgQSo6iGE_0000017 846.5 852.0 
Jack_Lemmon/TcmgQSo6iGE_0000018 856.2 866.5 
Jack_Lemmon/TcmgQSo6iGE_0000019 894.4 901.0 
Jack_Lemmon/TcmgQSo6iGE_0000020 905.5 911.4 
Jack_Lemmon/TcmgQSo6iGE_0000021 998.2 1012.9 
Jack_Lemmon/TcmgQSo6iGE_0000022 1018.4 1029.1 
Jack_Lemmon/TcmgQSo6iGE_0000023 1029.5 1034.5 
Jack_Lemmon/TcmgQSo6iGE_0000024 1048.9 1059.0 
Jack_Lemmon/TcmgQSo6iGE_0000025 1059.6 1068.3 
Jack_Lemmon/TcmgQSo6iGE_0000026 1069.3 1074.6 
Jack_Lemmon/TcmgQSo6iGE_0000027 1083.7 1097.0 
Jack_Lemmon/TcmgQSo6iGE_0000028 1241.0 1250.8 
Jack_Lemmon/TcmgQSo6iGE_0000029 1305.3 1320.2 
Jack_Lemmon/TcmgQSo6iGE_0000030 1322.7 1330.1 
Jack_Lemmon/TcmgQSo6iGE_0000031 1330.9 1340.0 
Jack_Lemmon/TcmgQSo6iGE_0000032 1493.2 1499.7 
Jack_Lemmon/TcmgQSo6iGE_0000033 1519.5 1525.0 
Jack_Lemmon/TcmgQSo6iGE_0000034 1584.7 1590.6 
Jack_Lemmon/TcmgQSo6iGE_0000035 1639.6 1645.2 
Jack_Lemmon/TcmgQSo6iGE_0000036 1691.5 1697.8 
Jack_Lemmon/TcmgQSo6iGE_0000037 1697.8 1707.8 
Jack_Lemmon/TcmgQSo6iGE_0000038 1719.4 1724.5 
Jack_Lemmon/TcmgQSo6iGE_0000039 1724.8 1729.1 
Jack_Lemmon/TcmgQSo6iGE_0000040 1729.8 1744.6 
Jack_Lemmon/TcmgQSo6iGE_0000041 1745.6 1755.8 
Jack_Lemmon/TcmgQSo6iGE_0000042 1756.8 1771.0 
Jack_Lemmon/TcmgQSo6iGE_0000043 1809.8 1824.8 
Jack_Lemmon/TcmgQSo6iGE_0000044 1826.6 1833.9 
Jack_Lemmon/TcmgQSo6iGE_0000045 1834.8 1839.2 
Jack_Lemmon/TcmgQSo6iGE_0000046 1856.5 1862.1 
Jack_Lemmon/TcmgQSo6iGE_0000047 1862.6 1867.8 
Jack_Lemmon/TcmgQSo6iGE_0000048 1873.2 1878.4 
Jack_Lemmon/TcmgQSo6iGE_0000049 2000.1 2009.3 
Jack_Lemmon/TcmgQSo6iGE_0000050 2022.8 2026.8 
Jack_Lemmon/TcmgQSo6iGE_0000051 2082.8 2092.7 
Jack_Lemmon/TcmgQSo6iGE_0000052 2093.9 2109.6 
Jack_Lemmon/TcmgQSo6iGE_0000053 2110.0 2118.6 
Jack_Lemmon/TcmgQSo6iGE_0000054 2119.0 2128.8 
Jack_Lemmon/TcmgQSo6iGE_0000055 2130.1 2136.1 
Jack_Lemmon/TcmgQSo6iGE_0000056 2199.8 2206.0 
Jack_Lemmon/TcmgQSo6iGE_0000057 2225.0 2229.1 
Jack_Lemmon/TcmgQSo6iGE_0000058 2249.6 2254.1 
Jack_Lemmon/TcmgQSo6iGE_0000059 2276.2 2282.0 
Jack_Lemmon/TcmgQSo6iGE_0000060 2282.2 2291.8 
Jack_Lemmon/TcmgQSo6iGE_0000061 2418.8 2425.5 
Jack_Lemmon/TcmgQSo6iGE_0000062 2428.9 2440.0 
Jack_Lemmon/TcmgQSo6iGE_0000063 2453.8 2461.3 
Jack_Lemmon/TcmgQSo6iGE_0000064 2467.9 2476.6 
Jack_Lemmon/TcmgQSo6iGE_0000065 2536.8 2542.9 
Jack_Lemmon/TcmgQSo6iGE_0000066 2543.6 2549.3 
Jack_Lemmon/TcmgQSo6iGE_0000067 2583.5 2595.4 
Jack_Lemmon/TcmgQSo6iGE_0000068 2597.0 2603.8 
Jack_Lemmon/TcmgQSo6iGE_0000069 2724.7 2729.3 
Jack_Lemmon/TcmgQSo6iGE_0000070 2734.4 2743.6 
Jack_Lemmon/TcmgQSo6iGE_0000071 2793.5 2801.5 
Jack_Lemmon/TcmgQSo6iGE_0000072 2833.5 2838.4 
Jack_Lemmon/TcmgQSo6iGE_0000073 2843.3 2848.2 
Jack_Lemmon/TcmgQSo6iGE_0000074 2917.0 2932.6 
Jack_Lemmon/TcmgQSo6iGE_0000075 2944.6 2953.6 
Jack_Lemmon/TcmgQSo6iGE_0000076 3014.3 3022.4 
Jack_Lemmon/TcmgQSo6iGE_0000077 3057.2 3062.0 
Jack_Lemmon/TcmgQSo6iGE_0000078 3065.4 3074.2 
