POI: 			Kevin_Clash 
Youtube ID: 	mk_vu2H9QA8 
Video length: 	325.5 sec 
Set (V): 		dev 
 
Kevin_Clash/mk_vu2H9QA8_0000001 06.2 15.8 
Kevin_Clash/mk_vu2H9QA8_0000002 27.4 45.8 
Kevin_Clash/mk_vu2H9QA8_0000003 55.5 61.4 
Kevin_Clash/mk_vu2H9QA8_0000004 64.7 71.9 
Kevin_Clash/mk_vu2H9QA8_0000005 117.9 127.1 
Kevin_Clash/mk_vu2H9QA8_0000006 137.5 172.0 
Kevin_Clash/mk_vu2H9QA8_0000007 173.0 177.7 
Kevin_Clash/mk_vu2H9QA8_0000008 179.0 184.5 
Kevin_Clash/mk_vu2H9QA8_0000009 184.6 188.8 
Kevin_Clash/mk_vu2H9QA8_0000010 196.3 204.6 
Kevin_Clash/mk_vu2H9QA8_0000011 207.1 214.8 
Kevin_Clash/mk_vu2H9QA8_0000012 225.0 231.6 
Kevin_Clash/mk_vu2H9QA8_0000013 246.1 253.6 
Kevin_Clash/mk_vu2H9QA8_0000014 255.4 260.0 
Kevin_Clash/mk_vu2H9QA8_0000015 290.5 295.3 
Kevin_Clash/mk_vu2H9QA8_0000016 303.5 308.6 
