POI: 			Kevin_Clash 
Youtube ID: 	8MUIVGnfI4M 
Video length: 	372.3 sec 
Set (V): 		dev 
 
Kevin_Clash/8MUIVGnfI4M_0000001 07.7 17.2 
Kevin_Clash/8MUIVGnfI4M_0000002 21.9 41.1 
Kevin_Clash/8MUIVGnfI4M_0000003 41.4 54.1 
Kevin_Clash/8MUIVGnfI4M_0000004 56.4 61.3 
Kevin_Clash/8MUIVGnfI4M_0000005 75.4 86.7 
Kevin_Clash/8MUIVGnfI4M_0000006 87.2 93.1 
Kevin_Clash/8MUIVGnfI4M_0000007 62.3 68.0 
Kevin_Clash/8MUIVGnfI4M_0000008 70.9 76.4 
Kevin_Clash/8MUIVGnfI4M_0000009 104.5 124.0 
Kevin_Clash/8MUIVGnfI4M_0000010 124.8 136.3 
Kevin_Clash/8MUIVGnfI4M_0000011 158.8 167.6 
Kevin_Clash/8MUIVGnfI4M_0000012 170.3 175.2 
Kevin_Clash/8MUIVGnfI4M_0000013 178.4 186.2 
Kevin_Clash/8MUIVGnfI4M_0000014 187.6 201.7 
Kevin_Clash/8MUIVGnfI4M_0000015 204.8 210.3 
Kevin_Clash/8MUIVGnfI4M_0000016 223.4 229.6 
Kevin_Clash/8MUIVGnfI4M_0000017 235.0 240.2 
Kevin_Clash/8MUIVGnfI4M_0000018 247.0 251.0 
Kevin_Clash/8MUIVGnfI4M_0000019 251.6 267.0 
Kevin_Clash/8MUIVGnfI4M_0000020 267.5 276.3 
Kevin_Clash/8MUIVGnfI4M_0000021 286.7 295.4 
Kevin_Clash/8MUIVGnfI4M_0000022 296.8 311.8 
Kevin_Clash/8MUIVGnfI4M_0000023 321.1 326.5 
Kevin_Clash/8MUIVGnfI4M_0000024 327.4 332.6 
Kevin_Clash/8MUIVGnfI4M_0000025 341.2 346.1 
Kevin_Clash/8MUIVGnfI4M_0000026 352.3 358.8 
