POI: 			Taylor_Kitsch 
Youtube ID: 	U1FzOW8h4JM 
Video length: 	859.5 sec 
Set (V): 		dev 
 
Taylor_Kitsch/U1FzOW8h4JM_0000001 130.9 156.4 
Taylor_Kitsch/U1FzOW8h4JM_0000002 165.6 174.8 
Taylor_Kitsch/U1FzOW8h4JM_0000003 199.7 209.4 
Taylor_Kitsch/U1FzOW8h4JM_0000004 214.0 236.0 
Taylor_Kitsch/U1FzOW8h4JM_0000005 241.5 247.8 
Taylor_Kitsch/U1FzOW8h4JM_0000006 260.2 267.7 
Taylor_Kitsch/U1FzOW8h4JM_0000007 280.4 284.8 
Taylor_Kitsch/U1FzOW8h4JM_0000008 314.3 338.2 
Taylor_Kitsch/U1FzOW8h4JM_0000009 342.6 349.0 
Taylor_Kitsch/U1FzOW8h4JM_0000010 400.3 418.3 
Taylor_Kitsch/U1FzOW8h4JM_0000011 424.4 436.9 
Taylor_Kitsch/U1FzOW8h4JM_0000012 449.0 458.3 
Taylor_Kitsch/U1FzOW8h4JM_0000013 509.8 516.4 
Taylor_Kitsch/U1FzOW8h4JM_0000014 517.6 525.5 
Taylor_Kitsch/U1FzOW8h4JM_0000015 526.2 532.1 
Taylor_Kitsch/U1FzOW8h4JM_0000016 543.4 551.4 
Taylor_Kitsch/U1FzOW8h4JM_0000017 554.4 576.6 
Taylor_Kitsch/U1FzOW8h4JM_0000018 580.7 586.4 
Taylor_Kitsch/U1FzOW8h4JM_0000019 590.4 597.6 
Taylor_Kitsch/U1FzOW8h4JM_0000020 599.9 609.8 
Taylor_Kitsch/U1FzOW8h4JM_0000021 630.4 638.1 
Taylor_Kitsch/U1FzOW8h4JM_0000022 639.9 654.4 
Taylor_Kitsch/U1FzOW8h4JM_0000023 659.8 664.6 
Taylor_Kitsch/U1FzOW8h4JM_0000024 665.0 671.1 
Taylor_Kitsch/U1FzOW8h4JM_0000025 672.0 677.6 
Taylor_Kitsch/U1FzOW8h4JM_0000026 701.7 705.7 
Taylor_Kitsch/U1FzOW8h4JM_0000027 744.3 748.6 
Taylor_Kitsch/U1FzOW8h4JM_0000028 753.6 757.8 
Taylor_Kitsch/U1FzOW8h4JM_0000029 793.2 797.7 
Taylor_Kitsch/U1FzOW8h4JM_0000030 805.4 816.3 
