POI: 			Taylor_Kitsch 
Youtube ID: 	WMz8EAPiP40 
Video length: 	344.5 sec 
Set (V): 		dev 
 
Taylor_Kitsch/WMz8EAPiP40_0000001 49.7 54.0 
Taylor_Kitsch/WMz8EAPiP40_0000002 81.0 85.6 
Taylor_Kitsch/WMz8EAPiP40_0000003 98.1 104.0 
Taylor_Kitsch/WMz8EAPiP40_0000004 104.4 109.4 
Taylor_Kitsch/WMz8EAPiP40_0000005 125.6 133.6 
Taylor_Kitsch/WMz8EAPiP40_0000006 138.2 147.6 
Taylor_Kitsch/WMz8EAPiP40_0000007 153.9 158.4 
Taylor_Kitsch/WMz8EAPiP40_0000008 184.8 192.0 
Taylor_Kitsch/WMz8EAPiP40_0000009 193.1 197.4 
Taylor_Kitsch/WMz8EAPiP40_0000010 206.4 220.1 
Taylor_Kitsch/WMz8EAPiP40_0000011 228.2 233.0 
Taylor_Kitsch/WMz8EAPiP40_0000012 243.1 249.0 
Taylor_Kitsch/WMz8EAPiP40_0000013 257.6 268.6 
Taylor_Kitsch/WMz8EAPiP40_0000014 276.1 280.0 
Taylor_Kitsch/WMz8EAPiP40_0000015 299.4 306.4 
Taylor_Kitsch/WMz8EAPiP40_0000016 317.9 322.6 
Taylor_Kitsch/WMz8EAPiP40_0000017 322.9 327.1 
