POI: 			Claudia_Black 
Youtube ID: 	AP5o1B1qPz8 
Video length: 	1849.3 sec 
Set (V): 		dev 
 
Claudia_Black/AP5o1B1qPz8_0000001 11.4 23.5 
Claudia_Black/AP5o1B1qPz8_0000002 32.0 44.8 
Claudia_Black/AP5o1B1qPz8_0000003 48.8 58.5 
Claudia_Black/AP5o1B1qPz8_0000004 60.3 68.1 
Claudia_Black/AP5o1B1qPz8_0000005 70.0 85.3 
Claudia_Black/AP5o1B1qPz8_0000006 87.2 106.6 
Claudia_Black/AP5o1B1qPz8_0000007 110.0 115.3 
Claudia_Black/AP5o1B1qPz8_0000008 119.6 127.9 
Claudia_Black/AP5o1B1qPz8_0000009 128.7 144.6 
Claudia_Black/AP5o1B1qPz8_0000010 148.1 153.1 
Claudia_Black/AP5o1B1qPz8_0000011 158.7 164.1 
Claudia_Black/AP5o1B1qPz8_0000012 164.5 168.5 
Claudia_Black/AP5o1B1qPz8_0000013 168.9 173.4 
Claudia_Black/AP5o1B1qPz8_0000014 182.7 188.2 
Claudia_Black/AP5o1B1qPz8_0000015 191.8 196.6 
Claudia_Black/AP5o1B1qPz8_0000016 201.6 240.8 
Claudia_Black/AP5o1B1qPz8_0000017 244.7 251.3 
Claudia_Black/AP5o1B1qPz8_0000018 256.4 261.3 
Claudia_Black/AP5o1B1qPz8_0000019 276.0 281.9 
Claudia_Black/AP5o1B1qPz8_0000020 283.0 287.1 
Claudia_Black/AP5o1B1qPz8_0000021 289.5 305.6 
Claudia_Black/AP5o1B1qPz8_0000022 311.6 319.3 
Claudia_Black/AP5o1B1qPz8_0000023 324.4 329.6 
Claudia_Black/AP5o1B1qPz8_0000024 332.0 337.9 
Claudia_Black/AP5o1B1qPz8_0000025 340.8 348.5 
Claudia_Black/AP5o1B1qPz8_0000026 350.6 361.8 
Claudia_Black/AP5o1B1qPz8_0000027 362.8 402.4 
Claudia_Black/AP5o1B1qPz8_0000028 421.7 429.3 
Claudia_Black/AP5o1B1qPz8_0000029 430.5 442.2 
Claudia_Black/AP5o1B1qPz8_0000030 450.3 458.5 
Claudia_Black/AP5o1B1qPz8_0000031 459.8 483.1 
Claudia_Black/AP5o1B1qPz8_0000032 488.4 494.0 
Claudia_Black/AP5o1B1qPz8_0000033 494.4 501.7 
Claudia_Black/AP5o1B1qPz8_0000034 506.3 513.4 
Claudia_Black/AP5o1B1qPz8_0000035 514.5 518.7 
Claudia_Black/AP5o1B1qPz8_0000036 522.3 532.0 
Claudia_Black/AP5o1B1qPz8_0000037 532.5 541.6 
Claudia_Black/AP5o1B1qPz8_0000038 541.9 553.2 
Claudia_Black/AP5o1B1qPz8_0000039 554.7 593.2 
Claudia_Black/AP5o1B1qPz8_0000040 597.1 609.8 
Claudia_Black/AP5o1B1qPz8_0000041 619.3 624.9 
Claudia_Black/AP5o1B1qPz8_0000042 626.8 644.6 
Claudia_Black/AP5o1B1qPz8_0000043 657.1 675.2 
Claudia_Black/AP5o1B1qPz8_0000044 677.1 696.7 
Claudia_Black/AP5o1B1qPz8_0000045 697.4 715.0 
Claudia_Black/AP5o1B1qPz8_0000046 717.1 724.8 
Claudia_Black/AP5o1B1qPz8_0000047 732.1 736.7 
