POI: 			Claudia_Black 
Youtube ID: 	tWreIBz9lA4 
Video length: 	2229.6 sec 
Set (V): 		dev 
 
Claudia_Black/tWreIBz9lA4_0000001 32.7 39.2 
Claudia_Black/tWreIBz9lA4_0000002 43.9 48.3 
Claudia_Black/tWreIBz9lA4_0000003 51.1 55.1 
Claudia_Black/tWreIBz9lA4_0000004 58.4 62.7 
Claudia_Black/tWreIBz9lA4_0000005 82.2 87.0 
Claudia_Black/tWreIBz9lA4_0000006 89.3 94.4 
Claudia_Black/tWreIBz9lA4_0000007 104.7 109.9 
Claudia_Black/tWreIBz9lA4_0000008 111.4 118.6 
Claudia_Black/tWreIBz9lA4_0000009 122.2 127.6 
Claudia_Black/tWreIBz9lA4_0000010 161.8 166.2 
Claudia_Black/tWreIBz9lA4_0000011 171.4 177.6 
Claudia_Black/tWreIBz9lA4_0000012 208.6 217.4 
Claudia_Black/tWreIBz9lA4_0000013 219.9 225.3 
Claudia_Black/tWreIBz9lA4_0000014 230.0 235.3 
Claudia_Black/tWreIBz9lA4_0000015 250.5 255.0 
Claudia_Black/tWreIBz9lA4_0000016 261.7 268.4 
Claudia_Black/tWreIBz9lA4_0000017 278.4 282.6 
Claudia_Black/tWreIBz9lA4_0000018 283.8 289.8 
Claudia_Black/tWreIBz9lA4_0000019 387.4 395.2 
Claudia_Black/tWreIBz9lA4_0000020 398.7 402.8 
Claudia_Black/tWreIBz9lA4_0000021 429.1 434.9 
Claudia_Black/tWreIBz9lA4_0000022 442.6 447.0 
Claudia_Black/tWreIBz9lA4_0000023 452.2 457.5 
Claudia_Black/tWreIBz9lA4_0000024 476.2 482.6 
Claudia_Black/tWreIBz9lA4_0000025 574.4 579.7 
Claudia_Black/tWreIBz9lA4_0000026 596.2 604.1 
Claudia_Black/tWreIBz9lA4_0000027 612.8 618.6 
Claudia_Black/tWreIBz9lA4_0000028 696.9 701.1 
Claudia_Black/tWreIBz9lA4_0000029 706.1 713.7 
Claudia_Black/tWreIBz9lA4_0000030 714.7 722.9 
Claudia_Black/tWreIBz9lA4_0000031 723.7 729.4 
Claudia_Black/tWreIBz9lA4_0000032 746.6 751.5 
Claudia_Black/tWreIBz9lA4_0000033 752.2 756.6 
Claudia_Black/tWreIBz9lA4_0000034 764.7 769.0 
Claudia_Black/tWreIBz9lA4_0000035 798.0 804.6 
Claudia_Black/tWreIBz9lA4_0000036 805.1 812.9 
Claudia_Black/tWreIBz9lA4_0000037 815.3 822.2 
Claudia_Black/tWreIBz9lA4_0000038 822.5 829.3 
Claudia_Black/tWreIBz9lA4_0000039 868.1 874.4 
Claudia_Black/tWreIBz9lA4_0000040 880.0 884.5 
Claudia_Black/tWreIBz9lA4_0000041 896.9 901.4 
Claudia_Black/tWreIBz9lA4_0000042 927.8 931.9 
Claudia_Black/tWreIBz9lA4_0000043 978.8 983.0 
Claudia_Black/tWreIBz9lA4_0000044 988.2 995.0 
Claudia_Black/tWreIBz9lA4_0000045 1021.7 1026.8 
Claudia_Black/tWreIBz9lA4_0000046 1054.6 1059.1 
Claudia_Black/tWreIBz9lA4_0000047 1069.5 1074.6 
Claudia_Black/tWreIBz9lA4_0000048 1083.5 1090.0 
Claudia_Black/tWreIBz9lA4_0000049 1095.2 1110.3 
Claudia_Black/tWreIBz9lA4_0000050 1116.5 1122.5 
Claudia_Black/tWreIBz9lA4_0000051 1123.4 1127.7 
Claudia_Black/tWreIBz9lA4_0000052 1130.5 1135.1 
Claudia_Black/tWreIBz9lA4_0000053 1112.5 1122.6 
Claudia_Black/tWreIBz9lA4_0000054 1156.0 1164.4 
Claudia_Black/tWreIBz9lA4_0000055 1165.3 1178.1 
Claudia_Black/tWreIBz9lA4_0000056 1262.5 1267.7 
Claudia_Black/tWreIBz9lA4_0000057 1273.6 1279.6 
Claudia_Black/tWreIBz9lA4_0000058 1336.2 1350.2 
Claudia_Black/tWreIBz9lA4_0000059 1381.6 1388.8 
Claudia_Black/tWreIBz9lA4_0000060 1422.6 1429.3 
Claudia_Black/tWreIBz9lA4_0000061 1449.4 1454.1 
Claudia_Black/tWreIBz9lA4_0000062 1475.6 1480.0 
Claudia_Black/tWreIBz9lA4_0000063 1494.8 1501.4 
Claudia_Black/tWreIBz9lA4_0000064 1511.3 1516.4 
Claudia_Black/tWreIBz9lA4_0000065 1556.1 1561.2 
Claudia_Black/tWreIBz9lA4_0000066 1568.3 1573.3 
Claudia_Black/tWreIBz9lA4_0000067 1586.4 1592.0 
Claudia_Black/tWreIBz9lA4_0000068 1593.8 1598.9 
Claudia_Black/tWreIBz9lA4_0000069 1599.0 1605.2 
Claudia_Black/tWreIBz9lA4_0000070 1568.3 1573.2 
Claudia_Black/tWreIBz9lA4_0000071 1586.4 1591.9 
Claudia_Black/tWreIBz9lA4_0000072 1593.8 1598.8 
Claudia_Black/tWreIBz9lA4_0000073 1622.4 1626.6 
Claudia_Black/tWreIBz9lA4_0000074 1627.2 1637.0 
Claudia_Black/tWreIBz9lA4_0000075 1654.1 1658.7 
Claudia_Black/tWreIBz9lA4_0000076 1706.8 1711.8 
Claudia_Black/tWreIBz9lA4_0000077 1783.0 1790.3 
Claudia_Black/tWreIBz9lA4_0000078 1813.5 1819.6 
Claudia_Black/tWreIBz9lA4_0000079 1880.2 1884.4 
Claudia_Black/tWreIBz9lA4_0000080 1892.1 1897.4 
Claudia_Black/tWreIBz9lA4_0000081 1933.9 1938.0 
Claudia_Black/tWreIBz9lA4_0000082 1944.4 1948.4 
Claudia_Black/tWreIBz9lA4_0000083 2154.8 2158.8 
Claudia_Black/tWreIBz9lA4_0000084 2158.9 2165.4 
Claudia_Black/tWreIBz9lA4_0000085 2169.0 2181.8 
Claudia_Black/tWreIBz9lA4_0000086 2203.0 2207.8 
Claudia_Black/tWreIBz9lA4_0000087 2208.6 2217.8 
