POI: 			Debra_Jo_Rupp 
Youtube ID: 	cwjqhPMhntg 
Video length: 	1674.0 sec 
Set (V): 		dev 
 
Debra_Jo_Rupp/cwjqhPMhntg_0000001 933.9 942.0 
Debra_Jo_Rupp/cwjqhPMhntg_0000002 948.2 953.5 
Debra_Jo_Rupp/cwjqhPMhntg_0000003 975.4 980.6 
Debra_Jo_Rupp/cwjqhPMhntg_0000004 985.3 997.9 
Debra_Jo_Rupp/cwjqhPMhntg_0000005 999.8 1007.7 
Debra_Jo_Rupp/cwjqhPMhntg_0000006 1013.8 1019.1 
Debra_Jo_Rupp/cwjqhPMhntg_0000007 1032.7 1038.6 
Debra_Jo_Rupp/cwjqhPMhntg_0000008 1040.8 1051.8 
Debra_Jo_Rupp/cwjqhPMhntg_0000009 1060.9 1065.1 
Debra_Jo_Rupp/cwjqhPMhntg_0000010 1082.4 1086.6 
Debra_Jo_Rupp/cwjqhPMhntg_0000011 1120.0 1125.3 
Debra_Jo_Rupp/cwjqhPMhntg_0000012 1133.3 1137.7 
Debra_Jo_Rupp/cwjqhPMhntg_0000013 1151.8 1156.6 
Debra_Jo_Rupp/cwjqhPMhntg_0000014 1174.2 1179.4 
Debra_Jo_Rupp/cwjqhPMhntg_0000015 1179.9 1199.5 
Debra_Jo_Rupp/cwjqhPMhntg_0000016 1209.8 1224.4 
Debra_Jo_Rupp/cwjqhPMhntg_0000017 1231.4 1250.6 
Debra_Jo_Rupp/cwjqhPMhntg_0000018 1250.9 1255.9 
Debra_Jo_Rupp/cwjqhPMhntg_0000019 1291.1 1297.9 
Debra_Jo_Rupp/cwjqhPMhntg_0000020 1298.3 1309.1 
Debra_Jo_Rupp/cwjqhPMhntg_0000021 1352.4 1359.2 
Debra_Jo_Rupp/cwjqhPMhntg_0000022 1361.4 1370.4 
Debra_Jo_Rupp/cwjqhPMhntg_0000023 1377.6 1388.3 
Debra_Jo_Rupp/cwjqhPMhntg_0000024 1389.7 1396.2 
Debra_Jo_Rupp/cwjqhPMhntg_0000025 1425.6 1434.3 
Debra_Jo_Rupp/cwjqhPMhntg_0000026 1447.5 1455.4 
Debra_Jo_Rupp/cwjqhPMhntg_0000027 1481.7 1486.2 
Debra_Jo_Rupp/cwjqhPMhntg_0000028 1486.9 1499.1 
