POI: 			Debra_Jo_Rupp 
Youtube ID: 	BSVcmcMyuqc 
Video length: 	779.7 sec 
Set (V): 		dev 
 
Debra_Jo_Rupp/BSVcmcMyuqc_0000001 69.8 78.1 
Debra_Jo_Rupp/BSVcmcMyuqc_0000002 84.2 89.4 
Debra_Jo_Rupp/BSVcmcMyuqc_0000003 111.2 117.2 
Debra_Jo_Rupp/BSVcmcMyuqc_0000004 121.0 134.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000005 135.8 143.7 
Debra_Jo_Rupp/BSVcmcMyuqc_0000006 149.8 155.1 
Debra_Jo_Rupp/BSVcmcMyuqc_0000007 169.6 174.7 
Debra_Jo_Rupp/BSVcmcMyuqc_0000008 175.7 187.8 
Debra_Jo_Rupp/BSVcmcMyuqc_0000009 196.8 201.0 
Debra_Jo_Rupp/BSVcmcMyuqc_0000010 255.9 261.2 
Debra_Jo_Rupp/BSVcmcMyuqc_0000011 269.3 273.8 
Debra_Jo_Rupp/BSVcmcMyuqc_0000012 279.5 283.5 
Debra_Jo_Rupp/BSVcmcMyuqc_0000013 287.6 292.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000014 310.2 315.4 
Debra_Jo_Rupp/BSVcmcMyuqc_0000015 316.2 329.0 
Debra_Jo_Rupp/BSVcmcMyuqc_0000016 329.6 335.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000017 345.8 350.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000018 351.2 360.4 
Debra_Jo_Rupp/BSVcmcMyuqc_0000019 367.4 386.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000020 386.9 391.8 
Debra_Jo_Rupp/BSVcmcMyuqc_0000021 405.1 410.2 
Debra_Jo_Rupp/BSVcmcMyuqc_0000022 427.0 433.8 
Debra_Jo_Rupp/BSVcmcMyuqc_0000023 434.3 445.2 
Debra_Jo_Rupp/BSVcmcMyuqc_0000024 488.5 495.1 
Debra_Jo_Rupp/BSVcmcMyuqc_0000025 497.5 506.6 
Debra_Jo_Rupp/BSVcmcMyuqc_0000026 513.6 524.3 
Debra_Jo_Rupp/BSVcmcMyuqc_0000027 524.6 532.2 
Debra_Jo_Rupp/BSVcmcMyuqc_0000028 561.6 570.3 
Debra_Jo_Rupp/BSVcmcMyuqc_0000029 583.5 591.3 
Debra_Jo_Rupp/BSVcmcMyuqc_0000030 617.6 622.1 
Debra_Jo_Rupp/BSVcmcMyuqc_0000031 622.9 634.8 
