POI: 			Adam_Copeland 
Youtube ID: 	QmFNWMU2hKU 
Video length: 	805.3 sec 
Set (V): 		dev 
 
Adam_Copeland/QmFNWMU2hKU_0000001 119.1 140.5 
Adam_Copeland/QmFNWMU2hKU_0000002 157.4 161.6 
Adam_Copeland/QmFNWMU2hKU_0000003 162.7 183.5 
Adam_Copeland/QmFNWMU2hKU_0000004 215.9 225.7 
Adam_Copeland/QmFNWMU2hKU_0000005 264.4 272.5 
Adam_Copeland/QmFNWMU2hKU_0000006 289.1 293.1 
Adam_Copeland/QmFNWMU2hKU_0000007 294.0 303.8 
Adam_Copeland/QmFNWMU2hKU_0000008 304.1 310.0 
Adam_Copeland/QmFNWMU2hKU_0000009 333.4 345.6 
Adam_Copeland/QmFNWMU2hKU_0000010 346.6 358.0 
Adam_Copeland/QmFNWMU2hKU_0000011 370.4 376.5 
Adam_Copeland/QmFNWMU2hKU_0000012 382.0 386.7 
Adam_Copeland/QmFNWMU2hKU_0000013 394.0 398.1 
Adam_Copeland/QmFNWMU2hKU_0000014 398.9 406.4 
Adam_Copeland/QmFNWMU2hKU_0000015 416.2 425.9 
Adam_Copeland/QmFNWMU2hKU_0000016 428.4 434.9 
Adam_Copeland/QmFNWMU2hKU_0000017 443.0 474.2 
Adam_Copeland/QmFNWMU2hKU_0000018 495.8 509.7 
Adam_Copeland/QmFNWMU2hKU_0000019 511.0 515.0 
Adam_Copeland/QmFNWMU2hKU_0000020 534.5 540.3 
Adam_Copeland/QmFNWMU2hKU_0000021 594.9 605.6 
Adam_Copeland/QmFNWMU2hKU_0000022 617.5 628.5 
Adam_Copeland/QmFNWMU2hKU_0000023 652.0 657.6 
Adam_Copeland/QmFNWMU2hKU_0000024 665.0 679.8 
Adam_Copeland/QmFNWMU2hKU_0000025 680.3 693.7 
Adam_Copeland/QmFNWMU2hKU_0000026 694.1 701.5 
Adam_Copeland/QmFNWMU2hKU_0000027 719.6 724.9 
Adam_Copeland/QmFNWMU2hKU_0000028 725.3 731.7 
Adam_Copeland/QmFNWMU2hKU_0000029 734.4 738.9 
Adam_Copeland/QmFNWMU2hKU_0000030 741.1 750.5 
Adam_Copeland/QmFNWMU2hKU_0000031 767.0 772.2 
Adam_Copeland/QmFNWMU2hKU_0000032 781.6 785.8 
