POI: 			Katheryn_Winnick 
Youtube ID: 	lAz0Cby3soY 
Video length: 	494.6 sec 
Set (V): 		dev 
 
Katheryn_Winnick/lAz0Cby3soY_0000001 10.8 14.9 
Katheryn_Winnick/lAz0Cby3soY_0000002 24.1 31.8 
Katheryn_Winnick/lAz0Cby3soY_0000003 50.1 55.6 
Katheryn_Winnick/lAz0Cby3soY_0000004 56.4 69.8 
Katheryn_Winnick/lAz0Cby3soY_0000005 70.7 91.8 
Katheryn_Winnick/lAz0Cby3soY_0000006 99.9 123.8 
Katheryn_Winnick/lAz0Cby3soY_0000007 124.4 134.4 
Katheryn_Winnick/lAz0Cby3soY_0000008 134.6 147.8 
Katheryn_Winnick/lAz0Cby3soY_0000009 164.6 172.8 
Katheryn_Winnick/lAz0Cby3soY_0000010 179.3 218.5 
Katheryn_Winnick/lAz0Cby3soY_0000011 230.5 256.1 
Katheryn_Winnick/lAz0Cby3soY_0000012 258.6 280.8 
Katheryn_Winnick/lAz0Cby3soY_0000013 306.8 321.1 
Katheryn_Winnick/lAz0Cby3soY_0000014 321.6 337.2 
Katheryn_Winnick/lAz0Cby3soY_0000015 339.2 343.5 
Katheryn_Winnick/lAz0Cby3soY_0000016 358.6 364.6 
Katheryn_Winnick/lAz0Cby3soY_0000017 372.7 380.5 
Katheryn_Winnick/lAz0Cby3soY_0000018 380.7 388.9 
Katheryn_Winnick/lAz0Cby3soY_0000019 397.6 413.6 
Katheryn_Winnick/lAz0Cby3soY_0000020 419.8 426.1 
Katheryn_Winnick/lAz0Cby3soY_0000021 430.8 440.0 
Katheryn_Winnick/lAz0Cby3soY_0000022 443.6 454.8 
Katheryn_Winnick/lAz0Cby3soY_0000023 472.5 483.2 
