POI: 			Jason_Mantzoukas 
Youtube ID: 	6v2-hgDisi4 
Video length: 	400.3 sec 
Set (V): 		dev 
 
Jason_Mantzoukas/6v2-hgDisi4_0000001 13.9 19.3 
Jason_Mantzoukas/6v2-hgDisi4_0000002 29.2 33.6 
Jason_Mantzoukas/6v2-hgDisi4_0000003 33.8 50.3 
Jason_Mantzoukas/6v2-hgDisi4_0000004 52.6 66.6 
Jason_Mantzoukas/6v2-hgDisi4_0000005 73.6 77.8 
Jason_Mantzoukas/6v2-hgDisi4_0000006 79.5 90.5 
Jason_Mantzoukas/6v2-hgDisi4_0000007 98.0 103.8 
Jason_Mantzoukas/6v2-hgDisi4_0000008 93.4 104.6 
Jason_Mantzoukas/6v2-hgDisi4_0000009 107.2 114.4 
Jason_Mantzoukas/6v2-hgDisi4_0000010 120.0 135.6 
Jason_Mantzoukas/6v2-hgDisi4_0000011 145.4 149.7 
Jason_Mantzoukas/6v2-hgDisi4_0000012 160.2 173.2 
Jason_Mantzoukas/6v2-hgDisi4_0000013 173.8 178.4 
Jason_Mantzoukas/6v2-hgDisi4_0000014 178.5 188.0 
Jason_Mantzoukas/6v2-hgDisi4_0000015 188.3 197.5 
Jason_Mantzoukas/6v2-hgDisi4_0000016 202.4 222.0 
Jason_Mantzoukas/6v2-hgDisi4_0000017 222.2 257.5 
Jason_Mantzoukas/6v2-hgDisi4_0000018 258.0 262.4 
Jason_Mantzoukas/6v2-hgDisi4_0000019 266.8 276.5 
Jason_Mantzoukas/6v2-hgDisi4_0000020 299.0 319.8 
Jason_Mantzoukas/6v2-hgDisi4_0000021 327.3 331.4 
Jason_Mantzoukas/6v2-hgDisi4_0000022 332.2 350.0 
Jason_Mantzoukas/6v2-hgDisi4_0000023 350.2 355.0 
Jason_Mantzoukas/6v2-hgDisi4_0000024 355.1 373.3 
Jason_Mantzoukas/6v2-hgDisi4_0000025 380.4 396.7 
