POI: 			Brian_Cox 
Youtube ID: 	zas--VfFdmk 
Video length: 	5714.5 sec 
Set (V): 		dev 
 
Brian_Cox/zas--VfFdmk_0000001 550.0 554.8 
Brian_Cox/zas--VfFdmk_0000002 540.7 545.2 
Brian_Cox/zas--VfFdmk_0000003 564.8 569.1 
Brian_Cox/zas--VfFdmk_0000004 578.3 582.3 
Brian_Cox/zas--VfFdmk_0000005 599.9 606.4 
Brian_Cox/zas--VfFdmk_0000006 602.1 607.4 
Brian_Cox/zas--VfFdmk_0000007 618.6 624.2 
Brian_Cox/zas--VfFdmk_0000008 625.1 629.2 
Brian_Cox/zas--VfFdmk_0000009 629.4 636.2 
Brian_Cox/zas--VfFdmk_0000010 637.8 643.6 
Brian_Cox/zas--VfFdmk_0000011 646.2 653.0 
Brian_Cox/zas--VfFdmk_0000012 653.7 660.8 
Brian_Cox/zas--VfFdmk_0000013 663.2 669.8 
Brian_Cox/zas--VfFdmk_0000014 670.9 687.5 
Brian_Cox/zas--VfFdmk_0000015 687.9 692.9 
Brian_Cox/zas--VfFdmk_0000016 674.3 686.0 
Brian_Cox/zas--VfFdmk_0000017 688.9 693.8 
Brian_Cox/zas--VfFdmk_0000018 696.5 704.0 
Brian_Cox/zas--VfFdmk_0000019 841.7 847.4 
Brian_Cox/zas--VfFdmk_0000020 864.0 873.6 
Brian_Cox/zas--VfFdmk_0000021 1026.2 1030.5 
Brian_Cox/zas--VfFdmk_0000022 1031.5 1037.4 
Brian_Cox/zas--VfFdmk_0000023 1037.6 1043.6 
Brian_Cox/zas--VfFdmk_0000024 1047.6 1055.7 
Brian_Cox/zas--VfFdmk_0000025 1056.2 1073.1 
Brian_Cox/zas--VfFdmk_0000026 1081.9 1087.4 
Brian_Cox/zas--VfFdmk_0000027 1077.0 1083.0 
Brian_Cox/zas--VfFdmk_0000028 1087.8 1098.6 
Brian_Cox/zas--VfFdmk_0000029 1108.6 1113.5 
Brian_Cox/zas--VfFdmk_0000030 1125.6 1129.6 
Brian_Cox/zas--VfFdmk_0000031 1138.8 1146.6 
Brian_Cox/zas--VfFdmk_0000032 1147.5 1154.6 
Brian_Cox/zas--VfFdmk_0000033 1166.5 1171.7 
Brian_Cox/zas--VfFdmk_0000034 1172.9 1179.2 
Brian_Cox/zas--VfFdmk_0000035 1189.7 1194.2 
Brian_Cox/zas--VfFdmk_0000036 1251.0 1256.4 
Brian_Cox/zas--VfFdmk_0000037 1261.7 1269.5 
Brian_Cox/zas--VfFdmk_0000038 1272.8 1280.9 
Brian_Cox/zas--VfFdmk_0000039 1291.2 1298.0 
Brian_Cox/zas--VfFdmk_0000040 1299.1 1305.1 
Brian_Cox/zas--VfFdmk_0000041 1307.9 1314.1 
Brian_Cox/zas--VfFdmk_0000042 1317.4 1322.6 
Brian_Cox/zas--VfFdmk_0000043 1323.1 1341.6 
Brian_Cox/zas--VfFdmk_0000044 1347.3 1353.5 
Brian_Cox/zas--VfFdmk_0000045 1357.4 1361.8 
Brian_Cox/zas--VfFdmk_0000046 1371.4 1377.6 
Brian_Cox/zas--VfFdmk_0000047 1578.8 1585.4 
Brian_Cox/zas--VfFdmk_0000048 1612.1 1616.6 
Brian_Cox/zas--VfFdmk_0000049 1620.4 1624.6 
Brian_Cox/zas--VfFdmk_0000050 1632.7 1641.2 
Brian_Cox/zas--VfFdmk_0000051 1649.0 1654.5 
Brian_Cox/zas--VfFdmk_0000052 1669.6 1676.4 
Brian_Cox/zas--VfFdmk_0000053 1686.2 1698.0 
Brian_Cox/zas--VfFdmk_0000054 1705.9 1710.5 
Brian_Cox/zas--VfFdmk_0000055 1732.8 1736.9 
Brian_Cox/zas--VfFdmk_0000056 1766.4 1770.6 
Brian_Cox/zas--VfFdmk_0000057 1771.3 1775.9 
Brian_Cox/zas--VfFdmk_0000058 1789.9 1798.6 
Brian_Cox/zas--VfFdmk_0000059 1800.4 1806.3 
Brian_Cox/zas--VfFdmk_0000060 1810.7 1816.5 
Brian_Cox/zas--VfFdmk_0000061 1961.4 1969.1 
Brian_Cox/zas--VfFdmk_0000062 1990.1 1994.1 
Brian_Cox/zas--VfFdmk_0000063 2003.1 2008.6 
Brian_Cox/zas--VfFdmk_0000064 2009.5 2017.9 
Brian_Cox/zas--VfFdmk_0000065 2033.4 2038.3 
Brian_Cox/zas--VfFdmk_0000066 2045.0 2049.9 
Brian_Cox/zas--VfFdmk_0000067 2055.8 2060.3 
Brian_Cox/zas--VfFdmk_0000068 2063.7 2069.8 
Brian_Cox/zas--VfFdmk_0000069 2070.4 2076.5 
Brian_Cox/zas--VfFdmk_0000070 2082.2 2094.4 
Brian_Cox/zas--VfFdmk_0000071 2100.1 2105.5 
Brian_Cox/zas--VfFdmk_0000072 2113.5 2118.1 
Brian_Cox/zas--VfFdmk_0000073 2118.8 2124.8 
Brian_Cox/zas--VfFdmk_0000074 2142.8 2148.8 
Brian_Cox/zas--VfFdmk_0000075 2149.0 2156.7 
Brian_Cox/zas--VfFdmk_0000076 2149.6 2159.6 
Brian_Cox/zas--VfFdmk_0000077 2165.2 2179.4 
Brian_Cox/zas--VfFdmk_0000078 2191.5 2196.3 
Brian_Cox/zas--VfFdmk_0000079 2197.2 2203.1 
Brian_Cox/zas--VfFdmk_0000080 2203.2 2207.2 
Brian_Cox/zas--VfFdmk_0000081 2270.8 2279.9 
Brian_Cox/zas--VfFdmk_0000082 2303.5 2310.9 
Brian_Cox/zas--VfFdmk_0000083 2313.4 2320.2 
Brian_Cox/zas--VfFdmk_0000084 2353.8 2365.4 
Brian_Cox/zas--VfFdmk_0000085 2366.0 2372.0 
Brian_Cox/zas--VfFdmk_0000086 2381.1 2394.9 
Brian_Cox/zas--VfFdmk_0000087 2410.7 2416.9 
Brian_Cox/zas--VfFdmk_0000088 2418.3 2422.4 
Brian_Cox/zas--VfFdmk_0000089 2620.0 2628.0 
Brian_Cox/zas--VfFdmk_0000090 2629.1 2644.4 
Brian_Cox/zas--VfFdmk_0000091 2645.3 2671.8 
Brian_Cox/zas--VfFdmk_0000092 2680.7 2685.2 
Brian_Cox/zas--VfFdmk_0000093 2722.0 2728.0 
Brian_Cox/zas--VfFdmk_0000094 2728.3 2736.0 
Brian_Cox/zas--VfFdmk_0000095 2976.5 2982.5 
Brian_Cox/zas--VfFdmk_0000096 2993.2 2997.7 
