POI: 			Hailee_Steinfeld 
Youtube ID: 	Qv7RVdd9LtI 
Video length: 	591.5 sec 
Set (V): 		dev 
 
Hailee_Steinfeld/Qv7RVdd9LtI_0000001 24.6 36.2 
Hailee_Steinfeld/Qv7RVdd9LtI_0000002 37.0 48.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000003 62.3 68.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000004 69.1 75.1 
Hailee_Steinfeld/Qv7RVdd9LtI_0000005 83.2 94.5 
Hailee_Steinfeld/Qv7RVdd9LtI_0000006 102.9 110.4 
Hailee_Steinfeld/Qv7RVdd9LtI_0000007 111.1 116.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000008 117.1 125.9 
Hailee_Steinfeld/Qv7RVdd9LtI_0000009 126.2 137.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000010 156.5 162.8 
Hailee_Steinfeld/Qv7RVdd9LtI_0000011 163.5 183.8 
Hailee_Steinfeld/Qv7RVdd9LtI_0000012 184.6 190.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000013 215.8 220.1 
Hailee_Steinfeld/Qv7RVdd9LtI_0000014 224.7 235.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000015 238.4 243.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000016 263.5 269.9 
Hailee_Steinfeld/Qv7RVdd9LtI_0000017 270.4 275.5 
Hailee_Steinfeld/Qv7RVdd9LtI_0000018 276.6 284.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000019 286.2 295.2 
Hailee_Steinfeld/Qv7RVdd9LtI_0000020 296.1 306.8 
Hailee_Steinfeld/Qv7RVdd9LtI_0000021 129.0 136.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000022 184.7 192.1 
Hailee_Steinfeld/Qv7RVdd9LtI_0000023 215.8 222.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000024 224.3 233.7 
Hailee_Steinfeld/Qv7RVdd9LtI_0000025 300.6 306.2 
Hailee_Steinfeld/Qv7RVdd9LtI_0000026 327.6 332.4 
Hailee_Steinfeld/Qv7RVdd9LtI_0000027 333.7 344.2 
Hailee_Steinfeld/Qv7RVdd9LtI_0000028 362.5 370.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000029 370.7 388.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000030 400.1 407.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000031 407.8 412.7 
Hailee_Steinfeld/Qv7RVdd9LtI_0000032 417.6 421.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000033 427.7 436.5 
Hailee_Steinfeld/Qv7RVdd9LtI_0000034 446.3 455.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000035 455.3 463.3 
Hailee_Steinfeld/Qv7RVdd9LtI_0000036 467.4 481.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000037 488.2 493.2 
Hailee_Steinfeld/Qv7RVdd9LtI_0000038 494.0 505.4 
Hailee_Steinfeld/Qv7RVdd9LtI_0000039 517.1 531.6 
Hailee_Steinfeld/Qv7RVdd9LtI_0000040 531.8 545.0 
Hailee_Steinfeld/Qv7RVdd9LtI_0000041 551.4 571.7 
