POI: 			Jemaine_Clement 
Youtube ID: 	_J-3Qn1IgcY 
Video length: 	1667.4 sec 
Set (V): 		dev 
 
Jemaine_Clement/_J-3Qn1IgcY_0000001 428.4 433.5 
Jemaine_Clement/_J-3Qn1IgcY_0000002 835.8 842.6 
Jemaine_Clement/_J-3Qn1IgcY_0000003 843.6 849.4 
Jemaine_Clement/_J-3Qn1IgcY_0000004 990.9 995.0 
Jemaine_Clement/_J-3Qn1IgcY_0000005 996.1 1000.9 
Jemaine_Clement/_J-3Qn1IgcY_0000006 1089.4 1093.8 
Jemaine_Clement/_J-3Qn1IgcY_0000007 1094.4 1100.4 
Jemaine_Clement/_J-3Qn1IgcY_0000008 1245.7 1251.4 
Jemaine_Clement/_J-3Qn1IgcY_0000009 1257.8 1269.3 
Jemaine_Clement/_J-3Qn1IgcY_0000010 1271.2 1279.5 
Jemaine_Clement/_J-3Qn1IgcY_0000011 1352.2 1366.6 
Jemaine_Clement/_J-3Qn1IgcY_0000012 1367.7 1372.1 
Jemaine_Clement/_J-3Qn1IgcY_0000013 1376.9 1384.8 
Jemaine_Clement/_J-3Qn1IgcY_0000014 1423.7 1428.1 
Jemaine_Clement/_J-3Qn1IgcY_0000015 1444.5 1448.9 
Jemaine_Clement/_J-3Qn1IgcY_0000016 1449.1 1454.6 
Jemaine_Clement/_J-3Qn1IgcY_0000017 1490.0 1498.9 
Jemaine_Clement/_J-3Qn1IgcY_0000018 1501.5 1510.8 
