POI: 			Sheridan_Smith 
Youtube ID: 	EdSQFx7gezs 
Video length: 	386.2 sec 
Set (V): 		dev 
 
Sheridan_Smith/EdSQFx7gezs_0000001 02.8 07.2 
Sheridan_Smith/EdSQFx7gezs_0000002 20.4 24.9 
Sheridan_Smith/EdSQFx7gezs_0000003 26.8 38.5 
Sheridan_Smith/EdSQFx7gezs_0000004 46.8 52.2 
Sheridan_Smith/EdSQFx7gezs_0000005 60.0 64.7 
Sheridan_Smith/EdSQFx7gezs_0000006 91.7 97.6 
Sheridan_Smith/EdSQFx7gezs_0000007 109.7 113.8 
Sheridan_Smith/EdSQFx7gezs_0000008 137.5 141.7 
Sheridan_Smith/EdSQFx7gezs_0000009 147.4 152.2 
Sheridan_Smith/EdSQFx7gezs_0000010 161.6 176.3 
Sheridan_Smith/EdSQFx7gezs_0000011 192.1 199.2 
Sheridan_Smith/EdSQFx7gezs_0000012 199.9 209.2 
Sheridan_Smith/EdSQFx7gezs_0000013 210.3 214.8 
Sheridan_Smith/EdSQFx7gezs_0000014 225.7 230.2 
Sheridan_Smith/EdSQFx7gezs_0000015 238.3 250.8 
Sheridan_Smith/EdSQFx7gezs_0000016 294.8 300.9 
Sheridan_Smith/EdSQFx7gezs_0000017 317.4 323.4 
Sheridan_Smith/EdSQFx7gezs_0000018 342.1 347.8 
Sheridan_Smith/EdSQFx7gezs_0000019 348.0 356.3 
Sheridan_Smith/EdSQFx7gezs_0000020 359.4 365.5 
