POI: 			Adrianne_Palicki 
Youtube ID: 	32rU5csGG3U 
Video length: 	415.3 sec 
Set (V): 		dev 
 
Adrianne_Palicki/32rU5csGG3U_0000001 13.4 18.9 
Adrianne_Palicki/32rU5csGG3U_0000002 25.4 58.6 
Adrianne_Palicki/32rU5csGG3U_0000003 92.5 104.1 
Adrianne_Palicki/32rU5csGG3U_0000004 104.5 111.6 
Adrianne_Palicki/32rU5csGG3U_0000005 112.2 118.4 
Adrianne_Palicki/32rU5csGG3U_0000006 119.3 127.0 
Adrianne_Palicki/32rU5csGG3U_0000007 127.3 131.4 
Adrianne_Palicki/32rU5csGG3U_0000008 178.4 182.6 
Adrianne_Palicki/32rU5csGG3U_0000009 188.6 196.0 
Adrianne_Palicki/32rU5csGG3U_0000010 172.7 177.3 
Adrianne_Palicki/32rU5csGG3U_0000011 235.0 244.2 
Adrianne_Palicki/32rU5csGG3U_0000012 249.8 263.4 
Adrianne_Palicki/32rU5csGG3U_0000013 266.7 283.5 
Adrianne_Palicki/32rU5csGG3U_0000014 305.4 321.2 
Adrianne_Palicki/32rU5csGG3U_0000015 321.5 326.5 
Adrianne_Palicki/32rU5csGG3U_0000016 326.9 336.6 
Adrianne_Palicki/32rU5csGG3U_0000017 402.6 412.1 
