POI: 			Titus_Welliver 
Youtube ID: 	9HBSUu7-7v0 
Video length: 	3266.2 sec 
Set (V): 		dev 
 
Titus_Welliver/9HBSUu7-7v0_0000001 57.9 64.7 
Titus_Welliver/9HBSUu7-7v0_0000002 130.0 141.4 
Titus_Welliver/9HBSUu7-7v0_0000003 179.4 185.4 
Titus_Welliver/9HBSUu7-7v0_0000004 231.8 237.2 
Titus_Welliver/9HBSUu7-7v0_0000005 239.0 244.8 
Titus_Welliver/9HBSUu7-7v0_0000006 383.2 388.3 
Titus_Welliver/9HBSUu7-7v0_0000007 389.8 401.4 
Titus_Welliver/9HBSUu7-7v0_0000008 460.5 466.2 
Titus_Welliver/9HBSUu7-7v0_0000009 495.7 502.4 
Titus_Welliver/9HBSUu7-7v0_0000010 536.4 544.1 
Titus_Welliver/9HBSUu7-7v0_0000011 632.2 636.2 
Titus_Welliver/9HBSUu7-7v0_0000012 639.2 645.2 
Titus_Welliver/9HBSUu7-7v0_0000013 836.0 840.9 
Titus_Welliver/9HBSUu7-7v0_0000014 929.0 936.0 
Titus_Welliver/9HBSUu7-7v0_0000015 948.8 956.8 
Titus_Welliver/9HBSUu7-7v0_0000016 957.5 962.2 
Titus_Welliver/9HBSUu7-7v0_0000017 963.3 968.0 
Titus_Welliver/9HBSUu7-7v0_0000018 974.6 980.0 
Titus_Welliver/9HBSUu7-7v0_0000019 987.3 991.7 
Titus_Welliver/9HBSUu7-7v0_0000020 1000.9 1009.1 
Titus_Welliver/9HBSUu7-7v0_0000021 1011.2 1019.0 
Titus_Welliver/9HBSUu7-7v0_0000022 1097.7 1117.4 
Titus_Welliver/9HBSUu7-7v0_0000023 1182.6 1190.3 
Titus_Welliver/9HBSUu7-7v0_0000024 1202.7 1211.0 
Titus_Welliver/9HBSUu7-7v0_0000025 1324.2 1328.6 
Titus_Welliver/9HBSUu7-7v0_0000026 1370.7 1375.2 
Titus_Welliver/9HBSUu7-7v0_0000027 1516.6 1520.6 
Titus_Welliver/9HBSUu7-7v0_0000028 1808.5 1813.2 
Titus_Welliver/9HBSUu7-7v0_0000029 1837.5 1845.3 
Titus_Welliver/9HBSUu7-7v0_0000030 2038.2 2044.1 
Titus_Welliver/9HBSUu7-7v0_0000031 2127.2 2131.6 
Titus_Welliver/9HBSUu7-7v0_0000032 2182.9 2187.5 
Titus_Welliver/9HBSUu7-7v0_0000033 2190.0 2194.5 
Titus_Welliver/9HBSUu7-7v0_0000034 2196.2 2201.0 
Titus_Welliver/9HBSUu7-7v0_0000035 2201.7 2207.4 
Titus_Welliver/9HBSUu7-7v0_0000036 2298.9 2309.2 
Titus_Welliver/9HBSUu7-7v0_0000037 2358.2 2365.4 
Titus_Welliver/9HBSUu7-7v0_0000038 2569.0 2573.1 
Titus_Welliver/9HBSUu7-7v0_0000039 2670.1 2674.3 
Titus_Welliver/9HBSUu7-7v0_0000040 2693.3 2698.8 
Titus_Welliver/9HBSUu7-7v0_0000041 2746.7 2753.0 
Titus_Welliver/9HBSUu7-7v0_0000042 2761.7 2765.7 
Titus_Welliver/9HBSUu7-7v0_0000043 2802.3 2809.5 
Titus_Welliver/9HBSUu7-7v0_0000044 3037.1 3046.4 
Titus_Welliver/9HBSUu7-7v0_0000045 3061.8 3073.9 
Titus_Welliver/9HBSUu7-7v0_0000046 3075.6 3080.0 
Titus_Welliver/9HBSUu7-7v0_0000047 3138.1 3146.5 
