POI: 			Estelle_Harris 
Youtube ID: 	R5JGtwc4o1M 
Video length: 	591.9 sec 
Set (V): 		test 
 
Estelle_Harris/R5JGtwc4o1M_0000001 03.0 08.3 
Estelle_Harris/R5JGtwc4o1M_0000002 82.9 101.1 
Estelle_Harris/R5JGtwc4o1M_0000003 101.9 108.8 
Estelle_Harris/R5JGtwc4o1M_0000004 114.3 121.8 
Estelle_Harris/R5JGtwc4o1M_0000005 130.5 135.0 
Estelle_Harris/R5JGtwc4o1M_0000006 164.6 173.9 
Estelle_Harris/R5JGtwc4o1M_0000007 213.8 225.2 
Estelle_Harris/R5JGtwc4o1M_0000008 225.7 237.3 
Estelle_Harris/R5JGtwc4o1M_0000009 310.9 315.6 
Estelle_Harris/R5JGtwc4o1M_0000010 323.2 328.0 
Estelle_Harris/R5JGtwc4o1M_0000011 328.4 339.5 
Estelle_Harris/R5JGtwc4o1M_0000012 346.2 350.8 
Estelle_Harris/R5JGtwc4o1M_0000013 367.0 371.4 
Estelle_Harris/R5JGtwc4o1M_0000014 376.2 382.3 
Estelle_Harris/R5JGtwc4o1M_0000015 383.1 387.8 
Estelle_Harris/R5JGtwc4o1M_0000016 387.0 393.6 
Estelle_Harris/R5JGtwc4o1M_0000017 405.2 409.9 
Estelle_Harris/R5JGtwc4o1M_0000018 436.2 446.3 
Estelle_Harris/R5JGtwc4o1M_0000019 463.9 471.6 
Estelle_Harris/R5JGtwc4o1M_0000020 523.6 527.9 
Estelle_Harris/R5JGtwc4o1M_0000021 536.7 542.5 
