POI: 			Estelle_Harris 
Youtube ID: 	LKDWhdJQFco 
Video length: 	591.4 sec 
Set (V): 		test 
 
Estelle_Harris/LKDWhdJQFco_0000001 03.0 08.3 
Estelle_Harris/LKDWhdJQFco_0000002 54.7 64.6 
Estelle_Harris/LKDWhdJQFco_0000003 60.2 67.2 
Estelle_Harris/LKDWhdJQFco_0000004 67.6 72.2 
Estelle_Harris/LKDWhdJQFco_0000005 76.7 91.4 
Estelle_Harris/LKDWhdJQFco_0000006 136.4 143.1 
Estelle_Harris/LKDWhdJQFco_0000007 145.1 158.2 
Estelle_Harris/LKDWhdJQFco_0000008 168.2 181.1 
Estelle_Harris/LKDWhdJQFco_0000009 181.5 187.8 
Estelle_Harris/LKDWhdJQFco_0000010 194.4 198.7 
Estelle_Harris/LKDWhdJQFco_0000011 216.5 221.4 
Estelle_Harris/LKDWhdJQFco_0000012 268.1 281.6 
Estelle_Harris/LKDWhdJQFco_0000013 299.7 304.2 
Estelle_Harris/LKDWhdJQFco_0000014 308.6 315.6 
Estelle_Harris/LKDWhdJQFco_0000015 319.4 325.5 
Estelle_Harris/LKDWhdJQFco_0000016 345.1 350.2 
Estelle_Harris/LKDWhdJQFco_0000017 364.0 368.4 
Estelle_Harris/LKDWhdJQFco_0000018 368.6 373.0 
Estelle_Harris/LKDWhdJQFco_0000019 408.7 423.8 
Estelle_Harris/LKDWhdJQFco_0000020 424.2 428.2 
Estelle_Harris/LKDWhdJQFco_0000021 450.2 455.8 
Estelle_Harris/LKDWhdJQFco_0000022 483.7 487.8 
Estelle_Harris/LKDWhdJQFco_0000023 494.5 499.5 
Estelle_Harris/LKDWhdJQFco_0000024 523.6 527.7 
