POI: 			Estelle_Harris 
Youtube ID: 	Zs8VK91yVMI 
Video length: 	540.1 sec 
Set (V): 		test 
 
Estelle_Harris/Zs8VK91yVMI_0000001 02.9 08.3 
Estelle_Harris/Zs8VK91yVMI_0000002 43.6 51.5 
Estelle_Harris/Zs8VK91yVMI_0000003 60.8 65.8 
Estelle_Harris/Zs8VK91yVMI_0000004 70.7 76.9 
Estelle_Harris/Zs8VK91yVMI_0000005 96.6 101.4 
Estelle_Harris/Zs8VK91yVMI_0000006 101.8 114.8 
Estelle_Harris/Zs8VK91yVMI_0000007 147.2 162.0 
Estelle_Harris/Zs8VK91yVMI_0000008 167.8 172.0 
Estelle_Harris/Zs8VK91yVMI_0000009 175.1 185.1 
Estelle_Harris/Zs8VK91yVMI_0000010 208.4 214.4 
Estelle_Harris/Zs8VK91yVMI_0000011 215.3 222.5 
Estelle_Harris/Zs8VK91yVMI_0000012 228.6 235.9 
Estelle_Harris/Zs8VK91yVMI_0000013 247.8 256.4 
Estelle_Harris/Zs8VK91yVMI_0000014 260.3 267.8 
Estelle_Harris/Zs8VK91yVMI_0000015 267.9 272.8 
Estelle_Harris/Zs8VK91yVMI_0000016 273.3 281.3 
Estelle_Harris/Zs8VK91yVMI_0000017 300.5 312.6 
Estelle_Harris/Zs8VK91yVMI_0000018 318.0 323.3 
Estelle_Harris/Zs8VK91yVMI_0000019 323.4 332.5 
Estelle_Harris/Zs8VK91yVMI_0000020 337.5 348.6 
Estelle_Harris/Zs8VK91yVMI_0000021 374.8 379.2 
Estelle_Harris/Zs8VK91yVMI_0000022 379.6 384.4 
Estelle_Harris/Zs8VK91yVMI_0000023 406.8 412.6 
Estelle_Harris/Zs8VK91yVMI_0000024 424.0 430.8 
Estelle_Harris/Zs8VK91yVMI_0000025 474.7 479.4 
Estelle_Harris/Zs8VK91yVMI_0000026 488.4 492.8 
