POI: 			Estelle_Harris 
Youtube ID: 	VCEs8oAQAiM 
Video length: 	591.4 sec 
Set (V): 		test 
 
Estelle_Harris/VCEs8oAQAiM_0000001 02.9 08.3 
Estelle_Harris/VCEs8oAQAiM_0000002 44.8 51.0 
Estelle_Harris/VCEs8oAQAiM_0000003 54.8 67.2 
Estelle_Harris/VCEs8oAQAiM_0000004 67.7 72.3 
Estelle_Harris/VCEs8oAQAiM_0000005 76.7 84.1 
Estelle_Harris/VCEs8oAQAiM_0000006 85.9 93.4 
Estelle_Harris/VCEs8oAQAiM_0000007 136.4 143.0 
Estelle_Harris/VCEs8oAQAiM_0000008 145.1 158.4 
Estelle_Harris/VCEs8oAQAiM_0000009 158.9 163.6 
Estelle_Harris/VCEs8oAQAiM_0000010 168.1 178.2 
Estelle_Harris/VCEs8oAQAiM_0000011 196.9 200.8 
Estelle_Harris/VCEs8oAQAiM_0000012 216.4 224.1 
Estelle_Harris/VCEs8oAQAiM_0000013 246.6 250.7 
Estelle_Harris/VCEs8oAQAiM_0000014 273.0 282.3 
Estelle_Harris/VCEs8oAQAiM_0000015 299.2 304.2 
Estelle_Harris/VCEs8oAQAiM_0000016 308.6 315.6 
Estelle_Harris/VCEs8oAQAiM_0000017 364.2 368.4 
Estelle_Harris/VCEs8oAQAiM_0000018 368.6 373.2 
Estelle_Harris/VCEs8oAQAiM_0000019 408.0 420.4 
Estelle_Harris/VCEs8oAQAiM_0000020 423.0 428.2 
Estelle_Harris/VCEs8oAQAiM_0000021 429.9 434.7 
Estelle_Harris/VCEs8oAQAiM_0000022 447.0 459.2 
Estelle_Harris/VCEs8oAQAiM_0000023 483.6 489.6 
Estelle_Harris/VCEs8oAQAiM_0000024 523.7 527.7 
