POI: 			Steven_Moffat 
Youtube ID: 	RcJJ9hSZ8YU 
Video length: 	1161.8 sec 
Set (V): 		dev 
 
Steven_Moffat/RcJJ9hSZ8YU_0000001 46.6 53.6 
Steven_Moffat/RcJJ9hSZ8YU_0000002 54.2 73.3 
Steven_Moffat/RcJJ9hSZ8YU_0000003 82.4 89.4 
Steven_Moffat/RcJJ9hSZ8YU_0000004 94.9 99.4 
Steven_Moffat/RcJJ9hSZ8YU_0000005 103.9 108.2 
Steven_Moffat/RcJJ9hSZ8YU_0000006 169.8 209.2 
Steven_Moffat/RcJJ9hSZ8YU_0000007 214.0 221.4 
Steven_Moffat/RcJJ9hSZ8YU_0000008 235.5 247.3 
Steven_Moffat/RcJJ9hSZ8YU_0000009 256.4 267.6 
Steven_Moffat/RcJJ9hSZ8YU_0000010 281.8 290.6 
Steven_Moffat/RcJJ9hSZ8YU_0000011 290.9 309.0 
Steven_Moffat/RcJJ9hSZ8YU_0000012 315.1 328.1 
Steven_Moffat/RcJJ9hSZ8YU_0000013 349.0 358.7 
Steven_Moffat/RcJJ9hSZ8YU_0000014 359.2 369.4 
Steven_Moffat/RcJJ9hSZ8YU_0000015 370.0 374.4 
Steven_Moffat/RcJJ9hSZ8YU_0000016 476.4 490.4 
Steven_Moffat/RcJJ9hSZ8YU_0000017 492.8 497.4 
Steven_Moffat/RcJJ9hSZ8YU_0000018 507.4 523.4 
Steven_Moffat/RcJJ9hSZ8YU_0000019 529.3 541.3 
Steven_Moffat/RcJJ9hSZ8YU_0000020 557.8 568.4 
Steven_Moffat/RcJJ9hSZ8YU_0000021 581.7 589.3 
Steven_Moffat/RcJJ9hSZ8YU_0000022 589.9 600.4 
Steven_Moffat/RcJJ9hSZ8YU_0000023 623.7 629.3 
Steven_Moffat/RcJJ9hSZ8YU_0000024 635.7 647.1 
Steven_Moffat/RcJJ9hSZ8YU_0000025 656.7 664.5 
Steven_Moffat/RcJJ9hSZ8YU_0000026 682.4 692.5 
Steven_Moffat/RcJJ9hSZ8YU_0000027 707.7 717.8 
Steven_Moffat/RcJJ9hSZ8YU_0000028 730.6 743.9 
Steven_Moffat/RcJJ9hSZ8YU_0000029 745.7 754.6 
Steven_Moffat/RcJJ9hSZ8YU_0000030 786.9 793.2 
Steven_Moffat/RcJJ9hSZ8YU_0000031 794.0 798.3 
Steven_Moffat/RcJJ9hSZ8YU_0000032 793.3 806.1 
Steven_Moffat/RcJJ9hSZ8YU_0000033 815.3 819.6 
Steven_Moffat/RcJJ9hSZ8YU_0000034 852.7 860.4 
Steven_Moffat/RcJJ9hSZ8YU_0000035 868.2 901.4 
Steven_Moffat/RcJJ9hSZ8YU_0000036 918.8 931.1 
Steven_Moffat/RcJJ9hSZ8YU_0000037 931.8 936.2 
Steven_Moffat/RcJJ9hSZ8YU_0000038 963.8 985.2 
Steven_Moffat/RcJJ9hSZ8YU_0000039 985.3 989.9 
Steven_Moffat/RcJJ9hSZ8YU_0000040 1013.2 1017.4 
Steven_Moffat/RcJJ9hSZ8YU_0000041 1023.8 1047.2 
Steven_Moffat/RcJJ9hSZ8YU_0000042 1057.2 1061.4 
Steven_Moffat/RcJJ9hSZ8YU_0000043 1069.7 1073.9 
Steven_Moffat/RcJJ9hSZ8YU_0000044 1074.4 1079.6 
Steven_Moffat/RcJJ9hSZ8YU_0000045 1080.4 1088.1 
Steven_Moffat/RcJJ9hSZ8YU_0000046 1117.0 1122.0 
